seq,code,name,eps,revenue,rev_yoy,rev_qoq,net_profit,profit_yoy,profit_qoq,bps,roe,cps,gross_margin,industry,pub_date,report_date
38,874976,澳维科技,0.34,217593917.3,,41.7027,43567712.28,,45.5521,3.824821683426,9.0,0.185785536701,38.8934522206,,2026-06-24,20250630
39,874226,博韬合纤,0.78,433769522.76,1.4240345721,23.1496,35809021.74,-3.26,42.9272,12.70829301766,6.32,1.218279581488,14.0495330382,,2026-06-23,20250630
40,874591,日信高科,0.92,162971509.15,44.4688789237,65.0963,28181143.57,23.31,301.7539,12.942876307295,7.12,-0.042347500682,42.8644294603,,2026-06-22,20250630
41,002529,海源复材,-0.2488,202545390.73,94.4525856852,10.0301,-64682409.35,-31.01,-77.7638,0.873170153654,-25.44,-0.087727488269,-4.9681626838,专用设备,2026-06-22,20250630
42,874593,安特磁材,0.67,367108559.28,20.0563404199,34.9051,40341972.41,12.2,25.2924,6.3217214275,11.23,0.693639758833,21.8097014537,,2026-06-16,20250630
43,874049,文依电气,0.53,174175396.39,27.7005196072,25.8427,29815245.29,55.4,86.2133,6.790656647143,8.01,0.062600316302,41.3838851089,,2026-06-16,20250630
44,688158,优刻得,-0.04,791070662.39,8.3653812558,10.5366,-15898229.44,85.3404408213,164.4593,5.286005885589,-0.66,0.103312821275,24.9612880009,IT服务Ⅱ,2026-06-16,20250630
45,874781,泰丰智能,0.54,343782173.93,,78.8697,36675693.81,,119.4159,11.567642524532,4.75,-0.268281240796,24.5783362599,,2026-06-11,20250630
46,600753,ST海钦,0.033,325318322.41,50.3785955404,191.065,7522689.51,120.5603237771,700.2737,0.007660985681,2533.94,-0.059930548581,5.2609874609,物流,2026-06-11,20250630
47,920009,丹娜生物,1.05,116118036.08,-1.3776447781,15.344,49964916.32,29.5524835022,-12.5486,10.856362296898,10.22,1.077186762819,85.9928359891,医疗器械,2026-06-05,20250630
48,875037,景隆智装,0.12,143950543.64,,-30.9837,6191897.8,,-121.2598,7.4167534264,1.69,-0.4835626064,40.4227789132,,2026-06-03,20250630
49,002816,*ST和科,-0.1529,44392641.92,869.1691013526,1281.9261,-15290451.78,88.43,51.9681,2.0935457947,-1.17,-0.1478800599,8.920984827,专用设备,2026-05-30,20250630
50,874709,华大海天,0.52,258921761.18,3.2384012392,30.1235,28353692.77,9.6,31.1122,9.384427723455,5.82,-1.229731461091,22.3706270288,,2026-05-29,20250630
51,300513,恒实科技,-0.3375,402933982.38,-28.6634554146,126.7203,-105873251.87,-107.77,-137.1898,3.697066256841,-8.73,0.323404504026,6.9402014878,通信服务,2026-05-29,20250630
52,688353,华盛锂电,-0.41,349852789.28,72.0185766907,10.5743,-63406481.05,12.57083558,52.8265,20.893631295423,-1.86,-1.149166193166,-2.0695093971,电池,2026-05-28,20250630
53,875000,江苏永成,0.42,848280197.93,,26.2718,49422549.44,,2556.9168,5.798632587405,7.52,-2.412957046248,14.0956084407,,2026-05-27,20250630
54,874544,邦正精机,0.59,76764251.87,16.3047498878,81.2586,18501040.45,62.36,95.8408,7.079595758216,8.67,0.040544439506,46.5519770459,,2026-05-21,20250630
55,601118,海南橡胶,-0.0411,20271943234.34,23.3959439282,45.688,-176047234.24,40.6212896,37.5603,2.277125324113,-1.79,0.488448084586,3.7744901547,种植业,2026-05-21,20250630
56,874597,昌誉股份,0.79,269767684.62,37.1064088632,,38342771.6,46.19,,5.966213173036,10.65,0.468161560046,33.3421817134,,2026-05-18,20250630
57,874536,浙江天际,0.39,308946875.41,23.3536771795,76.0266,52328782.21,44.22,155.1652,3.741254415185,10.93,0.089025491778,34.5330196877,,2026-05-12,20250630
58,834557,雨田润,-0.06,4530140.4,-51.1231913143,,-1613165.65,-39.36,,1.226293389764,1.95,-0.028618967305,30.7539750865,,2026-05-12,20250630
59,002496,辉丰股份,0.0076,147545099.33,33.9904317245,-0.0269,11465320.86,-67.02,-126.7773,0.888511506012,0.86,-0.01152517895,10.6482735932,农化制品,2026-05-09,20250630
60,688635,长进光子,,100376900.0,,24.4065,34049200.0,,24.2627,,,,,通信设备,2026-05-08,20250630
61,874471,七一股份,0.25,189757399.55,,,13665099.14,,,4.734722928123,5.46,0.169814643194,27.6008441116,,2026-05-06,20250630
62,688159,有方科技,0.69,1673117443.08,-5.1258112795,-19.7967,63564096.47,-22.1,161.1695,9.997644591945,7.15,1.521885857999,11.2371644195,通信设备,2026-05-01,20250630
63,874614,富兰克,0.21,446719898.99,14.4853490387,,33265054.35,99.3,,3.277834478624,6.82,0.321303857322,25.9513833505,,2026-04-30,20250630
64,873873,鸿普森,-0.15,20494413.23,-44.0457253034,,-4753188.75,-152.25,,2.462021268446,-5.0,0.114400385178,24.7990522244,,2026-04-30,20250630
65,872066,汇源股份,-0.22,162793184.08,-8.597168739,,-9442676.9,-33.02,,4.191167824368,-4.68,0.549638013563,9.5207159855,,2026-04-30,20250630
66,837687,草都牧草,0.09,158587777.07,-6.7864355925,,13475525.23,118.56,,2.612309519198,3.46,-0.114180884137,11.2221955492,,2026-04-30,20250630
67,835688,平安环保,0.05,85133407.76,-30.2304451576,,7071883.55,26.95,,1.223038649822,4.13,0.008984841612,20.9448759766,,2026-04-30,20250630
68,688478,晶升股份,-0.03,82284357.9,-58.59042045,-83.8014,-4185981.5,-111.96,34.7526,11.119805078189,-0.27,-0.27092555289,6.8953563895,半导体,2026-04-30,20250630
69,688439,振华风光,0.3167,464657448.89,-23.8976208778,45.5597,63334134.95,-72.62,115.3302,24.6072368558,1.29,0.83136114025,56.5333087778,军工电子Ⅱ,2026-04-30,20250630
70,688189,ST南新,-0.1459,61846347.67,-71.2779598863,-47.7622,-40002316.74,-493.23,-298.2658,3.260282935386,-4.37,0.299838308418,40.8808127279,化学制药,2026-04-30,20250630
71,603927,中科软,0.13,2434050635.53,-13.6568969085,22.6375,107036768.13,-43.36,859.2282,3.752087627647,3.24,-1.606270373472,28.5001839709,软件开发,2026-04-30,20250630
72,603690,至纯科技,-0.093,1607655491.19,5.2462079937,20.9291,-35395359.34,-46.68,50.6303,10.6557959096,0.81,-1.466695421974,30.0289524644,半导体,2026-04-30,20250630
73,603189,*ST网达,0.02,127448638.32,-28.2975341816,-28.8592,4823798.47,-19.68,-39.6561,5.715009646414,0.31,0.179641158737,28.7568519626,软件开发,2026-04-30,20250630
74,600540,新赛股份,0.0112,2371792171.83,383.7426801834,-4.771,6517204.63,-12.24,-164.1729,0.842734926355,1.3338,3.059571577088,2.3238524886,种植业,2026-04-30,20250630
75,600238,*ST椰岛,-0.04,89207180.44,-26.6246713176,1.5074,-15764999.74,-440.62,-42.3353,0.195753084025,-16.49,0.035213554775,37.9933642593,非白酒,2026-04-30,20250630
76,300534,陇神戎发,0.0762,481463835.82,-10.9403242088,-24.7173,23103260.49,27.48,-79.9219,2.283358767608,4.08,-0.205860476026,68.2654435759,中药Ⅱ,2026-04-30,20250630
77,300076,*ST宁视,-0.0536,27157390.07,-7.4227755976,-65.5256,-22729365.94,-50.99,-36.1409,2.142042359811,-2.47,-0.075439682995,10.0587357362,光学光电子,2026-04-30,20250630
78,002883,*ST中设,-0.084,87006383.56,-71.9123101141,34.1666,-13115168.73,-169.65,19.7334,3.324323749126,-2.49,-0.177445296234,22.3540444209,工程咨询服务Ⅱ,2026-04-30,20250630
79,002726,ST龙大,-0.24,4974609506.33,-1.3782849988,-4.8127,-262819826.4,-39.52,-10.7575,0.923342521931,2.61,0.105070525609,0.3438198765,食品加工,2026-04-30,20250630
80,002368,太极股份,0.002,3607362467.3,38.0212452971,95.1603,1260204.63,106.07,-152.0636,7.894157993089,0.18,-3.223159577278,23.315777679,IT服务Ⅱ,2026-04-30,20250630
81,002109,ST兴化,-0.153,1690335889.45,-6.8085353403,1.349,-195209496.65,24.66,35.273,3.330780634918,-4.49,0.093896858628,-7.6570337705,化学原料,2026-04-30,20250630
82,000858,五粮液,1.1912,23509972048.65,-53.5816622349,-62.4002,4623850715.13,-75.74,-95.3007,32.359866529915,3.41,8.021607691573,77.8661751665,白酒Ⅱ,2026-04-30,20250630
83,920469,富恒新材,-0.18,157272176.03,-15.0583953546,-106.6225,-25017265.48,-1095.0,-621.6648,2.684013831467,-6.29,-0.805487507201,3.3870523601,塑料,2026-04-29,20250630
84,875089,宝银特材,0.42,904584625.3,,,50216225.63,,,11.495432139667,4.06,-0.169490617583,15.6885831818,,2026-04-29,20250630
85,874200,广泰真空,0.74,209009771.15,20.2091253971,140.7781,49710095.15,37.42,145.4655,4.473411952333,18.11,-0.114625695363,35.353826318,,2026-04-29,20250630
86,871091,豪能科技,0.31,319937246.34,-13.9067538484,,39747787.25,82.99,,3.767099851422,9.77,0.046559493753,23.1746694823,,2026-04-29,20250630
87,870405,汉典生物,0.47,180164986.79,34.1534722537,,17086701.38,-9.94,,3.164284270753,23.07,-0.261630012919,62.2825512766,,2026-04-29,20250630
88,831237,飞宇科技,,210918244.94,14.434057161,,15975218.92,25.77,,2.213940101227,4.79,0.042863041021,19.3923914745,,2026-04-29,20250630
89,688119,中钢洛耐,0.029,1010592470.3,-10.4877916803,-13.329,32624727.9,686.6704576654,-33.5239,2.657685938507,1.1,-0.142043403813,15.904264086,装修建材,2026-04-29,20250630
90,603729,ST龙韵,,168189982.59,-18.5145375267,-35.5918,-3729841.52,53.9927211986,50.5612,3.930612902462,-4.04,-0.10996739388,16.5545470909,广告营销,2026-04-29,20250630
91,603329,上海雅仕,0.1,1484747658.09,13.8607822064,45.19,20326335.78,42.56,8.5034,5.374423661908,1.82,-1.326941178014,8.2643305104,物流,2026-04-29,20250630
92,601010,ST文峰,0.04,857281136.99,-14.3410175122,-23.0886,64209534.59,-48.19,-87.4167,2.316138719968,0.84,-0.075262190866,47.0441602968,一般零售,2026-04-29,20250630
93,600525,ST长园,-0.2586,3470215137.86,-0.8893009633,48.4029,-342136881.83,-777.1397636275,-176.7341,2.673552251376,-8.73,-0.171347516398,32.9385625738,电网设备,2026-04-29,20250630
94,600370,*ST三房,-0.0672,8888525609.03,-24.1325198182,21.113,-261783807.73,-98.813294728,-23.2307,1.319650984518,-4.81,0.332144661444,-0.706811997,化学纤维,2026-04-29,20250630
95,301396,宏景科技,,718807640.86,303.7244392652,-52.8946,60280419.24,725.73,78.4156,8.139032280329,4.95,0.359373721038,20.0394835004,IT服务Ⅱ,2026-04-29,20250630
96,300781,因赛集团,0.177,311869639.31,-9.5791438128,21.238,19466887.84,16.59,-12.4833,5.906079262931,3.6,-0.342855154805,34.0892646124,广告营销,2026-04-29,20250630
97,300555,ST路通,-0.1097,42756574.07,-25.8830933651,-28.7539,-21949166.84,3.82,-343.8504,2.4477297643,-4.39,-0.0062470236,14.9000543158,通信设备,2026-04-29,20250630
98,002875,安奈儿,-0.14,262871627.75,-23.4747256729,-17.0857,-28698790.23,4.59,-144.386,3.175190498525,-4.15,0.009078830573,63.5585158886,服装家纺,2026-04-29,20250630
99,002785,万里石,0.0187,538258193.85,-6.3908594198,36.9941,4230874.02,21.27,-4.3968,3.911476082871,0.58,0.032412487185,13.6894976244,装修建材,2026-04-29,20250630
100,002743,富煌钢构,0.07,1721665330.97,-17.5038599567,-15.531,30627738.42,-19.03,-24.1468,7.462093893232,0.95,0.501835712073,14.8496150019,专业工程,2026-04-29,20250630
101,002657,中科金财,-0.2498,267207795.17,6.0311115475,34.5144,-84945843.08,-71.51,-19.5842,5.131549408407,-4.73,-0.745055517819,21.2277663359,IT服务Ⅱ,2026-04-29,20250630
102,002535,林州重机,0.063,582825750.24,-33.6951698027,-11.9224,50542984.44,-47.5,18.0921,0.858001065294,7.63,0.191291035303,27.4072317986,专用设备,2026-04-29,20250630
103,002102,ST能特,0.1351,4251600575.32,-16.2293012956,-16.6762,355586679.47,496.36,-41.312,1.263656515159,9.91,0.08555860937,2.3488748113,化学制药,2026-04-29,20250630
104,002042,华孚时尚,0.02,4099515839.85,-37.1516805294,-12.2539,25097771.29,-43.98,78.4856,3.371965362124,0.43,0.724726482393,8.5154679283,纺织制造,2026-04-29,20250630
105,000911,*ST广糖,0.0228,1348005784.5,-25.6619264028,-22.562,9123461.86,-32.16,-102.9061,0.157856147407,7.89,-0.510206619873,12.0946821849,农产品加工,2026-04-29,20250630
106,000820,*ST节能,-0.0109,19097817.29,-50.3260177716,-57.5749,-7021547.31,36.88,-208.3113,0.225994579235,-4.93,-0.030199492007,32.0841826946,环保设备Ⅱ,2026-04-29,20250630
107,920405,海希通讯,,302120838.97,9.0254295781,-34.8886,40993250.61,18.11,-58.6386,5.788070038714,5.2,-0.260222628119,34.3663839522,自动化设备,2026-04-28,20250630
108,920152,昆工科技,-0.34,313022068.69,12.2792878898,51.3309,-37270098.98,-335.93,40.2255,3.368236738527,-9.64,-0.037984816201,5.9792190782,电池,2026-04-28,20250630
109,874851,谷登机械,0.42,247008343.45,6.7188649972,,19380290.4,-28.54,,6.69284134661,6.63,0.665106247468,28.9857072883,,2026-04-28,20250630
