code,name,eps,revenue,rev_yoy,rev_qoq,net_profit,profit_yoy,profit_qoq,bps,roe,cps,gross_margin,industry,pub_date,report_date
603843,*ST正平,0.0344,1514143949.49,-47.7440217688,-8.5229,24090313.06,-67.34,-99.6247,2.687523228392,1.16,-0.129234077555,11.3704987058,基础建设,2026-06-30,2022-09-30
600540,新赛股份,-0.2033,522812909.82,-30.1441329667,4.8639,-115697888.25,-2066.18,-33.2388,1.634564491307,-12.223,1.29823802075,-3.87298217,种植业,2026-04-30,2022-09-30
600525,ST长园,0.2663,5304915199.18,24.8409663056,1.7843,347770487.95,2563.2386840456,102.2799,3.384271004829,7.78,-0.076000920057,35.4364194481,电网设备,2026-04-29,2022-09-30
300746,汉嘉数智,0.16,1553930845.53,-15.1067838247,-25.5447,37049275.97,-61.53,-52.7067,5.827264898365,2.82,-0.023740084892,12.3468977987,工程咨询服务Ⅱ,2026-04-28,2022-09-30
200530,冰山B,0.01,2007696270.36,14.6001742073,6.1206,7770580.93,119.32,-152.8068,3.553622882422,0.27,-0.349735767842,13.1002144758,通用设备,2026-04-24,2022-09-30
000530,冰山冷热,0.01,2007696270.36,14.6001742073,6.1206,7770580.93,119.32,-152.8068,3.553622882422,0.27,-0.349735767842,13.1002144758,通用设备,2026-04-24,2022-09-30
600300,维维股份,0.06,3239708006.77,-0.5623308642,-0.1801,98425421.89,-44.03,151.6675,1.897721851909,3.23,0.069499833206,17.5056585601,饮料乳品,2026-04-04,2022-09-30
688132,邦彦技术,-0.18,183095707.29,47.1570147708,-47.7876,-20765438.11,-404.99,-202.2885,9.979494148945,-3.74,-0.030141581811,64.0900708142,军工电子Ⅱ,2026-03-20,2022-09-30
002726,ST龙大,0.03,11451986898.92,-26.2485565482,33.4363,32310886.3,-84.96,16.5722,2.909593825956,1.59,0.829702301224,3.8933505296,食品加工,2026-01-31,2022-09-30
301487,盟固利,0.2162,2560491633.42,32.8726047459,14.2985,86809460.97,5.6725372279,-55.8336,,,,8.3163088627,电池,2026-01-21,2022-09-30
688270,ST臻镭,,145169628.24,45.040334427,-36.291,68194842.95,72.85,-47.8049,18.632002749565,3.87,-0.219003825474,90.850211507,半导体,2025-12-25,2022-09-30
002160,常铝股份,-0.1038,5044426512.99,11.5029903569,-2.3933,-82581480.39,-193.97,-5666.0429,3.836398786503,-2.66,-0.286920211438,8.5373331421,工业金属,2025-08-30,2022-09-30
301372,科净源,1.58,372751842.35,,-17.6569,81296321.56,,-47.8493,,,,46.093699161,环境治理,2025-08-09,2022-09-30
603887,城地香江,0.01,1672645758.42,-3.78004297,62.4621,2937205.59,-95.64,63.1549,6.862850192436,0.09,0.132880890644,22.7160675838,IT服务Ⅱ,2025-06-30,2022-09-30
688246,嘉和美康,0.01,455321747.12,18.5014539775,32.1745,1475893.23,106.536657531,1234.8814,12.650817355902,0.08,-2.094934112238,49.971843225,软件开发,2025-05-01,2022-09-30
603959,ST百利,,1848991713.21,184.2210752697,47.5638,104589574.66,115.98,37.1215,1.539667268518,14.9,0.357398818026,13.1614093358,专业工程,2025-05-01,2022-09-30
688053,ST思科瑞,0.99,194475479.98,20.9528772359,-8.8812,79440019.42,9.5,-32.6699,16.4976384254,12.49,0.150999701,71.7316981011,军工电子Ⅱ,2025-04-26,2022-09-30
300730,科创信息,-0.03,222318776.05,-2.6463282978,-0.6991,-7534046.14,5.8,9.859,2.023802071967,-2.27,-0.695410586878,32.9291919021,软件开发,2025-04-25,2022-09-30
600684,珠江股份,-1.71,1627412135.47,-29.0429854968,215.5962,-1461470254.32,-695.29,-9.2682,0.793393331541,-83.92,-0.357126729439,16.5415990309,房地产服务,2025-04-02,2022-09-30
002512,ST达华,-0.1256,1280951032.34,-37.098911732,2.9527,-137587484.89,45.06,-12.7901,0.842172200259,-15.57,0.209594830176,9.2369912637,计算机设备,2025-01-27,2022-09-30
000833,粤桂股份,0.4915,2194944974.39,-8.5725593972,30.8803,328547419.12,18.02,-68.6301,5.000343549617,10.19,1.073445597295,25.894382627,综合Ⅱ,2025-01-25,2022-09-30
002178,延华智能,-0.0851,371241971.28,-34.8117453189,59.1331,-60620580.45,-2315.51,111.828,0.712679860097,-11.2,-0.111374448705,22.561619682,软件开发,2025-01-18,2022-09-30
600576,祥源文旅,0.0406,370794778.03,128.602860175,-43.1652,41180293.75,-39.4,56.8537,1.749080864634,1.23,-0.08492706571,44.9985002611,旅游及景区,2025-01-03,2022-09-30
600080,ST金花,0.0853,423150374.39,8.2166055426,17.8552,31829432.97,38.28,-15.0284,4.513207823119,1.91,-0.024907920945,76.5305419774,中药Ⅱ,2024-12-26,2022-09-30
688687,凯因科技,0.4,836731606.49,18.4308985059,7.0122,68394595.45,-12.11,152.5302,9.939413809344,4.01,0.57943623299,87.4063645268,生物制品,2024-12-20,2022-09-30
000506,招金黄金,0.22,208313801.69,-73.6689808098,2.6523,208121041.9,701.23,-119.1896,0.635143302508,43.15,-0.101798356555,-12.0771633833,贵金属,2024-11-27,2022-09-30
600590,泰豪科技,0.3054,3056281518.35,-6.4284544573,38.1561,260451214.58,-41.51,-91.9326,4.709221470465,6.71,0.013928399079,20.1073909651,其他电源设备Ⅱ,2024-11-09,2022-09-30
002097,山河智能,-0.09,5408118073.55,-40.5287310628,-17.1094,-97365804.45,-119.75,-258.2581,5.17653919483,-1.75,-1.844324383275,21.5582241653,工程机械,2024-10-31,2022-09-30
920263,中航泰达,0.26,345053695.38,14.8367799654,-18.1146,35918525.2,221.46,-41.8048,3.371952273578,7.43,2.684819193555,23.3810668746,环境治理,2024-10-29,2022-09-30
400057,海国油3,-2.97,2701314380.57,-46.8240887621,-59.0825,-1923419008.71,-51.58,9.8223,-6.94786442617,,-0.572214806015,-21.9928318408,,2024-10-28,2022-09-30
300149,睿智医药,2.05,1032237378.52,-18.1727401996,14.8859,1023391828.88,6799.35,-92.9462,6.026666229698,41.16,-0.128818788865,36.031167866,医疗服务,2024-10-18,2022-09-30
688152,麒麟信安,1.24,243459203.9,40.39,126.3405,73345165.54,70.05,142.004,10.935672283954,18.49,-1.402128561658,71.1165300906,软件开发,2024-10-09,2022-09-30
002628,成都路桥,-0.05,897431202.12,-23.3312786342,-19.2628,-37176704.64,-162.01,94.3363,3.902245271704,-1.25,0.411871201384,1.053212051,基础建设,2024-09-30,2022-09-30
603839,安正时尚,0.12,1690197505.8,-23.5061752751,36.7708,45704483.26,-61.58,1446.7894,6.196017984154,1.76,0.226802396023,48.3292447325,服装家纺,2024-09-21,2022-09-30
300422,博世科,-0.16,1709954934.7,-27.033397642,-40.876,-78776853.48,-170.03,-30.7544,4.989796792658,-2.93,0.236497852988,20.3888699641,环境治理,2024-09-09,2022-09-30
