code,name,eps,revenue,rev_yoy,rev_qoq,net_profit,profit_yoy,profit_qoq,bps,roe,cps,gross_margin,industry,pub_date,report_date
688825,长鑫科技,-0.3,9087147184.13,9.6614751516,,-16339777193.36,-96.2028038127,,0.663683738508,-38.28,-0.135581092412,-1.9304057387,半导体,2026-07-22,2023-12-31
920258,聚仁新材,0.2061,282291920.66,47.4024927807,,74200564.11,56.9962035852,,1.68,13.25,0.095170133667,43.3678879416,,2026-07-20,2023-12-31
874571,宇特光电,0.81,212186344.59,37.7225707553,,41867125.44,7.0759273003,,4.14,21.29,0.037027753962,36.4401926238,,2026-07-20,2023-12-31
874332,文峰光电,1.16,206601330.88,-22.6654140584,,69521188.19,-35.2210484172,,7.91,15.81,0.765179871667,62.9418168054,,2026-07-20,2023-12-31
873124,聚仁新材,0.2061,282291920.66,47.4024927807,,74200564.11,56.9962035852,,1.68,13.25,0.095170133667,43.3678879416,,2026-07-20,2023-12-31
874586,方意股份,1.56,205019322.78,6.3486988279,,47249642.44,6.1458608978,,5.79,31.87,1.913428111977,38.4890601335,,2026-07-17,2023-12-31
874421,旭阳新材,0.75,999324377.39,13.7548459475,,89630930.11,23.3057230843,,4.83,15.03,-0.483450116337,22.0051377826,,2026-07-17,2023-12-31
874103,钜芯科技,0.73,558230105.68,59.0197238553,,65744790.24,140.2896734972,,4.21,19.25,-0.624462509222,21.439317556,,2026-07-17,2023-12-31
301707,展芯股份,0.5,465746087.52,26.9897165468,,179034217.18,20.7952999908,,2.404920361833,31.55,-0.161391319861,82.39460808,半导体,2026-07-17,2023-12-31
920065,千岸科技,1.33,1399856798.16,-9.0266212954,,96426044.27,263.9083977279,,4.79,30.49,2.84819857622,39.8649475713,互联网电商,2026-07-16,2023-12-31
874600,千岸科技,1.33,1399856798.16,-9.0266212954,,96426044.27,263.9083977279,,4.79,30.49,2.84819857622,39.8649475713,,2026-07-16,2023-12-31
874500,杰理科技,1.58,2930554375.21,29.2856760096,3.6673,622975662.53,85.423479592,25.7072,7.25,23.95,2.106270067858,33.0944774611,,2026-07-16,2023-12-31
603468,津富士达,0.7672,3621237092.52,-17.1476146302,,284618518.24,-18.142218527,,5.905137071988,13.94,1.117742838775,14.5261838637,摩托车及其他,2026-07-16,2023-12-31
001232,嘉立创,1.47,6726115785.47,5.3063200848,,733522760.83,28.0993942046,,9.48901746438,16.93,3.1337155402,27.1353701767,元件,2026-07-16,2023-12-31
874798,环能涡轮,1.7,352154056.61,22.162955949,,92110329.01,-19.9383963232,,8.251289536733,24.82,2.3706085596,45.139164961,,2026-07-15,2023-12-31
874687,珈凯生物,1.19,217502020.54,19.1010662749,,47519162.54,-12.8194068492,,7.8,16.6,1.428866866696,63.6935936945,,2026-07-15,2023-12-31
920238,长鹰硬科,0.99,881110190.64,7.1386630759,,74173488.64,-11.7900529467,,7.88,13.49,0.553355185467,22.0693774792,通用设备,2026-07-13,2023-12-31
874396,长鹰硬科,0.99,881110190.64,7.1386630759,,74173488.64,-11.7900529467,,7.88,13.49,0.553355185467,22.0693774792,,2026-07-13,2023-12-31
874669,德硕科技,1.22,802887011.44,10.3030399167,,60913136.77,35.3589643799,,6.25,21.61,2.4122640664,17.9799281808,,2026-07-10,2023-12-31
874543,百利食品,1.25,1605211867.76,27.3457344411,,222440910.87,41.648537274,,3.97,37.44,2.121124644831,29.7503794304,,2026-07-10,2023-12-31
301677,欣兴工具,2.37,425252715.15,8.6838292967,,177428366.94,3.44207752,,13.805302658133,18.74,3.391214184133,57.1019640273,通用设备,2026-07-10,2023-12-31
920176,维琪科技,0.86,164831898.83,21.6737606579,,42287222.94,20.3689829367,,9.07,11.77,0.9756156728,65.4204877365,化妆品,2026-07-09,2023-12-31
874747,维琪科技,0.86,164831898.83,21.6737606579,,42287222.94,20.3689829367,,9.07,11.77,0.9756156728,65.4204877365,,2026-07-09,2023-12-31
301383,天键股份,0.96,1755918637.49,55.9828574261,-17.0667,136096684.25,103.58,-52.7129,16.057325440554,11.49,0.052814866827,20.3065753456,消费电子,2026-07-09,2023-12-31
874769,莫森泰克,1.97,1571775865.14,60.108862373,,193096170.25,73.8339435844,,7.396793477834,29.48,2.985051061875,20.0033124222,,2026-07-08,2023-12-31
920079,乔路铭,0.84,2556403807.75,63.7936884291,,301984894.59,96.3870894862,,2.29,50.53,-0.305313665176,21.8042370791,汽车零部件,2026-07-06,2023-12-31
874637,百瑞吉,0.83,198178349.17,31.470375315,,50078361.12,61.2080257614,,3.24,29.81,0.995241138333,81.6089591458,,2026-07-03,2023-12-31
874445,科金明,1.64,614347236.34,18.3608034215,16.2984,45105731.25,83.2152860902,4.8188,9.18,19.63,1.561345936609,32.3977681882,,2026-07-03,2023-12-31
874236,华晟智能,,636809125.12,92.2790140115,,65870560.74,89.1816929,,5.81,54.43,2.10935692484,24.2775838476,,2026-07-03,2023-12-31
872824,先歌国际,0.26,452653031.3,9.6221646791,,51751820.24,56.6211528965,,1.84,15.14,0.2326318222,39.2176019103,,2026-07-03,2023-12-31
834044,富泰和,0.61,732089042.35,22.6177372264,,53879709.79,8.735359709,,5.82,10.88,1.078807791412,27.9331936336,,2026-07-03,2023-12-31
920117,龙鑫智能,2.36,582301629.24,73.2203532875,,142799673.55,63.8356801086,,6.25,63.45,3.431586977526,41.3518598779,通用设备,2026-07-02,2023-12-31
873074,富士智能,0.22,861569629.56,51.5128654355,,30932014.67,4.0890582046,,3.87,5.92,-0.156532485198,17.1459363447,,2026-07-02,2023-12-31
688806,泰诺麦博,-1.42,,-100.0,,-446458715.86,-4.1495304934,,1.9786206305,-51.11,-0.858594287,,生物制品,2026-07-02,2023-12-31
874697,图特股份,1.54,825685914.78,18.8490696945,,130019668.83,39.059469524,,5.07,34.88,2.018392605775,30.2073560291,,2026-07-01,2023-12-31
920193,吉和昌,0.65,438274291.04,2.6647204142,,56212897.85,0.2215588851,,4.87,14.5,0.248837986992,31.5876929152,电池,2026-06-30,2023-12-31
875083,林泉股份,1.07,796279898.86,,,119820275.84,,,4.712509353275,25.2,0.570410911509,29.2028026154,,2026-06-30,2023-12-31
875011,优云科技,1.32,1301634837.76,,,112633323.47,,,4.331122946222,39.85,0.168536695889,19.5986266209,,2026-06-30,2023-12-31
874978,中源技术,1.61,227583663.71,,,66979322.85,,,4.0776803772,40.86,1.6562685954,45.1679359205,,2026-06-30,2023-12-31
874976,澳维科技,0.57,385839602.84,,,73656678.63,,,3.208300976567,19.5,0.375632060832,37.3454332084,,2026-06-30,2023-12-31
874969,嘉拓智能,0.54,3744427392.49,,,179154299.96,,,4.831482379915,13.27,-1.757822877143,22.0427909809,,2026-06-30,2023-12-31
874949,玖行能源,-0.24,1323577436.69,,,-18922412.72,,,6.900913134887,-5.09,-2.004576194761,17.9377370805,,2026-06-30,2023-12-31
874923,和烁丰,0.81,823017639.36,,,102212593.04,,,5.063780140556,17.23,1.615947181111,24.570648065,,2026-06-30,2023-12-31
874915,中维化纤,0.11,416824182.15,,,28558013.21,,,1.678956539217,10.96,-0.083333965991,22.3473281347,,2026-06-30,2023-12-31
874901,星网信通,0.62,564246161.26,,,42808080.21,,,4.278266798681,18.94,-1.945965813046,31.1451917754,,2026-06-30,2023-12-31
874879,戈尔德,1.84,1682857685.49,,,138644423.68,,,15.43308693352,14.47,0.654504561257,23.4371938703,,2026-06-30,2023-12-31
874870,武晓集团,0.38,2216024224.59,,,58681726.96,,,4.4259650118,4.83,0.6068096008,10.1103095,,2026-06-30,2023-12-31
874847,美昱新材,1.98,946590645.83,,,59527081.12,,,11.648007507667,18.48,-1.028053079333,13.0621338458,,2026-06-30,2023-12-31
874818,睿龙科技,0.48,125016228.5,,,55635439.05,,,2.772453180378,22.57,0.335274078323,79.2392388801,,2026-06-30,2023-12-31
874813,擎科生物,0.58,499698307.94,,,46991310.97,,,11.006897675228,6.06,1.423657772609,51.7906248986,,2026-06-30,2023-12-31
874784,森泰英格,0.86,296784664.32,,,47722720.23,,,7.471812010838,12.25,0.163241156792,43.1008947996,,2026-06-30,2023-12-31
874777,中星联华,,79148932.16,,,7061314.3,,,4.031703582,19.95,1.134577325,57.0963668703,,2026-06-30,2023-12-31
874775,云岭光电,-0.046,126632859.66,-3.982488168,,-14188227.28,-427.197901352,,1.714965305363,-2.65,0.132584165904,21.2417075175,,2026-06-30,2023-12-31
874717,鹰峰电子,1.07,1395593968.04,-5.8378057452,-15.0837,112547919.46,7.7857088727,17.2494,8.951215442703,12.79,1.096753367505,22.0153741501,,2026-06-30,2023-12-31
874661,宸芯科技,0.02,418101143.31,12.5656077175,,34496923.74,-44.5507284044,,1.28,1.47,-0.128393507925,71.9157263813,,2026-06-30,2023-12-31
874659,深鹏科技,0.63,357604315.25,34.5783430132,,28821151.5,4.3683800235,,4.42,17.02,0.237904200576,31.007751434,,2026-06-30,2023-12-31
874451,紫光国芯,-1.9013,911923853.32,-60.6295581229,73.8701,-201797920.46,-260.8479331176,0.4432,5.38,-29.67,-1.406328266332,11.5489732236,,2026-06-30,2023-12-31
874419,振华海科,0.56,556150058.2,21.6293879166,,63644453.7,24.8654280702,,6.23,10.57,0.991796115473,37.5096439233,,2026-06-30,2023-12-31
874401,中煤环保,0.39,269611578.58,-4.5877436056,,39844209.4,15.5120411515,,2.44,17.9,-0.910536432446,38.4011186075,,2026-06-30,2023-12-31
874390,佑威新材,1.87,664989003.6,16.4860703808,0.4925,93688012.24,10.7961637431,-29.0955,14.23,14.02,-0.5885303822,28.8470911371,,2026-06-30,2023-12-31
874352,福建三星,0.75,339401092.81,5.725815426,,55221054.27,0.4529295553,,6.47,12.31,0.454422703371,27.4905178612,,2026-06-30,2023-12-31
874233,华茂精密,0.77,113359684.95,-8.2854908086,,25889286.55,-29.84955052,,4.43,18.84,0.184600804548,47.2390956217,,2026-06-30,2023-12-31
874183,医诺生物,1.32,650815694.15,58.6855162337,,77323637.4,288.3008697925,,8.05,17.7,1.855759809296,29.7339797088,,2026-06-30,2023-12-31
874036,久正工学,1.6,611518707.45,54.1566784097,,80228048.0,621.255553595,,6.43,26.81,1.69857331945,28.560346428,,2026-06-30,2023-12-31
871429,莞银股份,-0.01,123171189.22,12.8196410459,,-157201.62,188.92,,1.2,7.12,0.140540902509,7.8183516462,,2026-06-30,2023-12-31
832836,银钢一通,1.08,344602407.64,23.1760581703,,46991617.82,51.8087130049,,4.83,23.23,0.703751985718,27.2457062221,,2026-06-30,2023-12-31
603843,*ST正平,-0.87,1956886022.19,-12.2789803016,49.4503,-609358603.88,-155.13,-1357.0465,1.245088681453,-50.43,-0.424218324812,-2.3040358963,基础建设,2026-06-30,2023-12-31
920081,欧伦电气,2.61,1231821170.65,26.7685331995,,139678875.7,51.0847441175,,8.81,34.76,4.365882142164,24.1696638687,小家电,2026-06-29,2023-12-31
875078,聚能磁体,0.3508,144032487.38,32.570414527,,24558469.33,96.3643428934,,1.834694555972,24.54,-0.058083975694,37.3907099014,,2026-06-29,2023-12-31
875070,陌桑高科,0.71,1013896886.57,,,89161116.74,,,7.01866731278,15.69,1.58592874469,21.6648949681,,2026-06-29,2023-12-31
875018,风华股份,0.0893,1240505113.27,,,9939669.87,,,2.161374747156,4.24,0.601657218773,7.84431511,,2026-06-29,2023-12-31
875000,江苏永成,0.87,1220182810.61,67.9019839345,,102584613.29,53.4112738251,,4.396746099169,22.06,-4.512580189182,18.3936411404,,2026-06-29,2023-12-31
874998,百川生物,0.84,488141183.06,2.4001854935,,42544754.64,54.3268315001,,3.984231952519,22.22,1.037799532752,23.2045380129,,2026-06-29,2023-12-31
874992,维衡股份,1.01,895088801.64,,,57480298.77,,,7.962763416931,26.99,2.28426563247,17.283730425,,2026-06-29,2023-12-31
874967,东晓生物,3.35,7993010882.95,,,297987763.67,,,14.411485314442,25.76,8.801296530581,10.3317360899,,2026-06-29,2023-12-31
874888,绽妍生物,1.13,486186497.76,,,68477576.48,,,4.636302936222,33.3,1.768639967056,62.3346030929,,2026-06-29,2023-12-31
874886,映日科技,1.15,522411804.48,20.2511762611,,102385483.39,21.1673301331,,6.148842623148,20.57,-0.826553146995,33.5763062407,,2026-06-29,2023-12-31
874874,安保医疗,0.68,361421828.57,,,72822504.07,,,3.472092496079,21.71,-0.053118444089,59.981826407,,2026-06-29,2023-12-31
874873,卓目科技,2.66,133505048.87,,,31957817.6,,,5.4072236725,65.84,1.3898498725,50.6693897216,,2026-06-29,2023-12-31
874831,利星科技,2.17,1016592691.45,-14.4216143081,,108397318.58,-14.3898106532,,9.9734963462,24.42,4.4390637472,18.7452585507,,2026-06-29,2023-12-31
874823,腾龙健康,0.8,282928815.41,-35.8473846107,,75732736.78,-45.7775328344,,3.966317780408,20.12,0.963232773359,53.1582761664,,2026-06-29,2023-12-31
874792,八环科技,1.71,716789261.77,13.8647480539,,77636923.14,56.8927309017,,8.914005740055,18.06,2.527516271722,26.0269205358,,2026-06-29,2023-12-31
