code,name,eps,revenue,rev_yoy,rev_qoq,net_profit,profit_yoy,profit_qoq,bps,roe,cps,gross_margin,industry,pub_date,report_date
874103,钜芯科技,,116526436.85,,,11668525.44,,,,,,14.6203037187,,2026-07-17,2024-03-31
600448,华纺股份,0.0015,661414927.29,3.9307403551,16.0816,945438.85,-14.7,-84.5148,1.991668395849,0.07,0.047380015361,8.4420417617,纺织制造,2026-07-14,2024-03-31
603843,*ST正平,-0.02,238161929.1,-16.0657660586,-69.7784,-16561239.2,48.01,96.6281,1.22128776619,-1.92,0.0677728433,2.5423746368,基础建设,2026-06-30,2024-03-31
603389,亚振家居,-0.11,32071525.22,-30.7263544922,-33.7415,-28266633.51,-5.4144449207,49.4574,1.326010795693,-7.8,-0.081015847149,16.668460054,家居用品,2026-06-30,2024-03-31
874226,博韬合纤,0.47,202691603.15,,,18827826.14,,,9.75617352975,4.93,-0.335474231,16.658308339,,2026-06-23,2024-03-31
002816,*ST和科,-0.0959,2284763.44,-91.4523066752,-97.0536,-9589801.69,26.82,78.7155,2.6591861799,-3.54,-0.3915875399,29.7276815669,专用设备,2026-05-30,2024-03-31
300513,恒实科技,-0.0304,112088457.36,-37.5336558863,-71.7551,-9547324.51,-145.73,-237.2722,7.647208391164,-0.4,-0.821812638453,26.0898746033,通信服务,2026-05-29,2024-03-31
601118,海南橡胶,-0.0377,7532600730.63,28.6345657255,-5.6193,-161185737.7,-196.5390651488,-119.367,2.232121691233,-1.6636,0.11368652171,4.2993629247,种植业,2026-05-21,2024-03-31
002496,辉丰股份,0.0321,57219935.86,-8.6153361057,-18.4739,48376333.09,351.65,113.2411,1.017870411692,3.2,-0.004737837847,32.6501068713,农化制品,2026-05-09,2024-03-31
688159,有方科技,0.64,862350045.17,358.73533905,286.1152,58730402.96,400.36,1022.4345,8.762266565447,7.58,-0.203399993455,12.990240681,通信设备,2026-05-01,2024-03-31
688439,振华风光,0.699,348416333.21,7.6317246672,8.2003,139793081.93,8.57,-34.6641,24.3437428658,2.91,-0.4794562326,71.5711937734,军工电子Ⅱ,2026-04-30,2024-03-31
603927,中科软,0.03,1287449540.62,0.9137328869,-43.4067,25878436.87,12.35,-90.9091,5.542588091712,0.79,-1.064173080761,30.9531199171,软件开发,2026-04-30,2024-03-31
603690,至纯科技,0.076,811384104.3,3.4812110534,-14.8045,28938501.6,1.45,85.0824,12.806415099748,1.29,-0.676564118833,33.8223660552,半导体,2026-04-30,2024-03-31
603189,*ST网达,0.01,67022296.8,6.6159474751,-17.9522,3417374.86,124.32,110.7306,5.681622356107,0.22,0.019595317165,24.7771860304,软件开发,2026-04-30,2024-03-31
600398,海澜之家,0.2,6177088464.4,8.7179767723,3.6696,886796520.93,10.41,77.2362,4.057102854905,5.16,0.287635346615,46.6935274575,服装家纺,2026-04-30,2024-03-31
300534,陇神戎发,0.0731,254961825.33,-13.958232616,-4.7917,22174114.55,10.68,49.3997,2.162049880829,3.44,0.43621203046,73.6993501819,中药Ⅱ,2026-04-30,2024-03-31
002883,*ST中设,0.06,141770175.18,-5.9574084464,24.5578,9959464.3,-9.86,124.6584,4.404117386326,1.46,-0.135629176826,36.1132754791,工程咨询服务Ⅱ,2026-04-30,2024-03-31
002726,ST龙大,-0.03,2523176556.28,-27.4287322509,-21.4541,-29540757.17,43.24,96.7023,1.141432595739,2.29,-0.131488883114,3.642189672,食品加工,2026-04-30,2024-03-31
002368,太极股份,0.0262,1661500116.22,-9.9450124265,-55.0057,16329727.56,-40.48,-92.5204,8.309028564558,0.32,-2.47960072842,25.0992392609,IT服务Ⅱ,2026-04-30,2024-03-31
002109,ST兴化,-0.1166,907900700.66,35.2785237939,2.9633,-148824482.48,-33.95,24.4177,3.712617361898,-2.73,0.045666313307,-6.9948797015,化学原料,2026-04-30,2024-03-31
000858,五粮液,3.618,34832906762.77,11.8631317207,67.9854,14045140540.62,11.98,90.374,36.995848472115,10.28,0.132984853681,78.4264150719,白酒Ⅱ,2026-04-30,2024-03-31
874411,友邦股份,1.68,72264989.52,,,16763487.78,,,,10.05,,32.8694386836,,2026-04-29,2024-03-31
688119,中钢洛耐,0.008,532936336.46,-22.8704177119,3.1063,9030816.5,-69.33,187.6258,2.743188780836,0.29,-0.025624406098,15.6551570595,装修建材,2026-04-29,2024-03-31
603329,上海雅仕,0.0267,487730557.7,-17.0413406372,-30.9526,4242553.36,154.1514816909,-75.5625,6.936887291548,0.39,-0.842770185378,10.4750675949,物流,2026-04-29,2024-03-31
601010,ST文峰,0.06,557902068.67,-11.7425707592,2.793,80949245.85,-38.53,11.8859,2.435588799205,1.18,0.001551579194,51.3217326031,一般零售,2026-04-29,2024-03-31
600525,ST长园,0.0127,1649392915.75,-7.9744056623,-37.1014,16763661.34,-2.46,95.4104,3.819404771706,0.32,-0.112683814728,35.0434461989,电网设备,2026-04-29,2024-03-31
600370,*ST三房,-0.0067,5415666045.58,9.358647781,-8.1661,-26283944.94,-130.8,89.5926,1.503225257824,-0.5,0.005876578983,0.8911239289,化学纤维,2026-04-29,2024-03-31
