code,name,sector,roe,net_margin,gross_margin,rev_yoy,profit_yoy,eps,revenue,net_profit,bps,rev_qoq,profit_qoq,cps,industry,pub_date,report_date
000657,中钨高新,稀土与钨金属,8.77,4.10370466978502,17.8410758935,37.4165767657,155.92,0.3748,9689543221.95,397630237.68,4.468940583233,-2.4465,77.6281,0.362291417351,小金属,2022-10-27,2021-09-30
000938,紫光股份,网络交换设备,5.55,3.363006657157832,19.7486455202,15.1297211521,29.39,0.56,47624218468.35,1601605637.51,10.296115096354,-2.1365,3.7096,-1.326015233979,IT服务Ⅱ,2022-10-29,2021-09-30
000977,浪潮信息,AI 服务器与算力硬件,8.96,2.9207606770054193,13.1448317748,1.6350929428,114.98,0.9292,46247086543.39,1350766718.02,9.386700595708,4.7452,-2.5212,-5.83230991866,计算机设备,2022-10-31,2021-09-30
002050,三花智控,热管理部件,12.43,11.033999264494664,25.0243406531,36.38526473,18.4,0.36,11719880371.31,1293171513.97,2.876462158847,-5.1588,1.1827,0.323178199814,家电零部件Ⅱ,2022-10-27,2021-09-30
002371,北方华创,刻蚀与制程设备,9.25,10.66346140923595,40.9391321392,60.9502714616,101.57,1.3372,6173374642.87,658295422.69,14.962622116131,17.3956,46.5438,-1.210103784618,半导体,2022-10-31,2021-09-30
002384,东山精密,PCB 印制电路板,8.82,5.493833012010658,15.3495842598,19.4725394102,25.35,0.7,21807178008.52,1198049944.42,8.136989655777,20.0882,65.0338,0.697479639156,元件,2022-10-25,2021-09-30
002460,赣锋锂业,锂矿与锂电材料,16.8,35.056380043689565,35.547396784,81.1924402214,648.24,1.77,7053758123.88,2472792255.27,13.445106591917,21.6491,12.2891,0.645530728076,能源金属,2022-10-31,2021-09-30
002466,天齐锂业,锂矿与锂电材料,6.64,13.680558337484106,53.2786322426,59.5823052873,148.02,0.36,3872718580.34,529809524.63,8.937246936606,5.1734,33.0716,0.934277272879,能源金属,2022-10-28,2021-09-30
002837,英维克,数据中心温控设备,10.4,10.069839570012835,30.3752564517,41.4435668293,23.79,0.36,1503678924.15,151418055.31,5.593454921881,-18.304,-41.3138,0.192791359945,专用设备,2022-10-26,2021-09-30
002851,麦格米特,工业电源与控制,10.17,10.982798907093931,27.098378699,18.9557124825,14.93,0.6406,2921789994.65,320894319.6,6.161719781337,-6.1193,10.1315,-0.358162720809,其他电源设备Ⅱ,2022-10-29,2021-09-30
