code,name,sector,roe,net_margin,gross_margin,rev_yoy,profit_yoy,eps,revenue,net_profit,bps,rev_qoq,profit_qoq,cps,industry,pub_date,report_date
000657,中钨高新,稀土与钨金属,9.03,13.145601967993532,30.4502645896,106.4716284137,264.44,0.4,7006834056.84,921090515.67,4.688881623076,43.4875,111.8201,-0.937423735616,小金属,2026-04-27,20260331
000938,紫光股份,网络交换设备,5.21,2.815482124003528,12.8829412414,34.6087720553,126.06,0.2755,27984855967.39,787908617.19,5.42895029268,44.0526,179.7289,-1.081346216623,IT服务Ⅱ,2026-04-29,20260331
000977,浪潮信息,AI 服务器与算力硬件,2.75,1.705293516631336,6.6391551412,-24.3031219922,30.74,0.4119,35470325836.04,604873166.81,15.187591059328,-19.5921,-35.0171,-5.292295343122,计算机设备,2026-04-30,20260331
002050,三花智控,热管理部件,2.88,11.93304483902071,27.7966881815,1.3573975694,2.68,0.22,7773555419.29,927621853.77,7.753748037011,11.3302,13.0509,0.262781968929,家电零部件Ⅱ,2026-04-30,20260331
002371,北方华创,刻蚀与制程设备,4.25,15.836099973024503,40.7727895045,25.7960902419,3.42,2.2556,10322863908.82,1634739048.68,54.211649872044,-14.3454,317.3975,1.032039190852,半导体,2026-04-30,20260331
002384,东山精密,PCB 印制电路板,5.05,8.44819357250298,19.3275357993,52.7234327423,143.47,0.61,13137636263.36,1109892942.38,12.359470838865,0.6389,581.7981,0.615127615281,元件,2026-04-28,20260331
002460,赣锋锂业,锂矿与锂电材料,4.02,19.97872271946294,29.7186730029,143.8134944996,616.34,0.88,9196158318.22,1837274971.24,22.158040900747,8.741,15.7367,0.375131957518,能源金属,2026-04-30,20260331
002466,天齐锂业,锂矿与锂电材料,4.31,36.583669748560524,62.6560605658,98.4382922726,1699.12,1.12,5128047632.11,1876028010.28,27.166035004095,73.8854,563.5421,0.151861969665,能源金属,2026-04-28,20260331
002837,英维克,数据中心温控设备,0.25,0.7366107668503861,24.2934619169,26.0290835683,-81.97,0.01,1175329313.61,8657602.27,3.541678473906,-42.4346,-92.9524,-0.395281284838,专用设备,2026-04-21,20260331
002851,麦格米特,工业电源与控制,1.43,4.113979572846225,21.5651593069,20.3520607461,6.93,0.2019,2787757360.95,114687768.37,15.42345883853,6.7455,271.5132,0.042257576246,其他电源设备Ⅱ,2026-04-29,20260331
300054,鼎龙股份,半导体工艺材料,4.71,24.600923180683022,54.9470617542,23.8179386419,77.99,0.26,1020104503.18,250955125.19,5.760869119037,6.0576,24.9858,0.301688162437,电子化学品Ⅱ,2026-04-28,20260331
300308,中际旭创,高速光模块,17.54,29.41313314458227,46.0581330258,192.1169094233,262.28,5.18,19496398083.95,5734501526.83,32.028176069571,47.3079,56.4529,3.030796606962,通信设备,2026-04-17,20260331
300373,扬杰科技,功率半导体器件,3.96,18.073482127369132,36.8127358837,34.8678303331,41.01,0.71,2129692752.55,384909639.0,18.237832419146,19.4804,35.0665,0.317716347338,半导体,2026-04-18,20260331
300394,天孚通信,光无源器件与光引擎,8.57,37.001421753802376,56.6039337232,40.8242783073,45.79,0.6331,1330270175.36,492218878.05,7.691983663774,6.8465,-10.8154,0.234465319722,通信设备,2026-04-21,20260331
300475,香农芯创,存储芯片与模组,31.53,5.585692629216502,9.1217457653,200.596381199,7835.06,2.86,23764565686.39,1327415593.91,10.453070115201,168.4851,616.5293,5.685126589991,其他电子Ⅱ,2026-04-24,20260331
300476,胜宏科技,PCB 印制电路板,7.62,23.343257149082433,34.4584933385,27.9927826495,39.95,1.48,5519485066.85,1288427592.46,19.946167475293,6.6563,20.734,2.425810238049,元件,2026-04-29,20260331
300502,新易盛,高速光模块,14.52,33.344394628834614,49.1609551491,105.759481459,76.8,2.8,8337902040.74,2780222960.23,20.501498206035,0.0101,-13.249,0.688194112089,通信设备,2026-04-24,20260331
