code,name,sector,roe,net_margin,gross_margin,rev_yoy,profit_yoy,eps,revenue,net_profit,bps,rev_qoq,profit_qoq,cps,industry,pub_date,report_date
000657,中钨高新,稀土与钨金属,1.35,2.5413943710462488,21.9642697473,-0.5414480888,43.29,0.05,1863208156.1,47351467.2,3.809697404729,-20.6837,244.2942,-0.165349532709,小金属,2021-04-30,2020-03-31
000938,紫光股份,网络交换设备,0.72,2.063969870579333,22.3028697382,-17.8362402558,-32.86,0.072,10041433103.47,207252153.83,13.92320779564,-38.2664,-58.0318,-1.163927418247,IT服务Ⅱ,2021-04-30,2020-03-31
000977,浪潮信息,AI 服务器与算力硬件,1.36,1.2145132269470047,11.7722511776,15.9012222615,47.84,0.1058,11235140166.65,136452263.39,7.696855647825,-16.299,-66.8046,-3.998988068376,计算机设备,2021-04-30,2020-03-31
002050,三花智控,热管理部件,2.25,8.509964663610228,26.4717690161,-10.6950867668,-18.29,0.06,2483672660.52,211359665.77,3.437632473359,-6.8622,-42.0782,0.187788862278,家电零部件Ⅱ,2021-04-23,2020-03-31
002371,北方华创,刻蚀与制程设备,0.45,2.8238984772175693,36.4054148462,32.4889785565,33.01,0.054,937940633.62,26486491.27,11.881573577189,-29.0344,-70.4532,1.45817844527,半导体,2021-04-29,2020-03-31
002384,东山精密,PCB 印制电路板,2.39,4.049629881085299,15.6059599672,14.2261885522,4.43,0.13,5130832351.63,207779720.06,5.451744850911,-28.5829,211.9431,0.360366248114,元件,2021-04-26,2020-03-31
002460,赣锋锂业,锂矿与锂电材料,0.09,0.7179986072018011,19.4703590587,-18.878206688,-96.94,0.01,1078841300.29,7746065.51,6.360822559603,-4.63,-73.2023,-0.107192193959,能源金属,2021-04-29,2020-03-31
002466,天齐锂业,锂矿与锂电材料,-7.68,-51.660428327434985,53.1671002115,-27.5689309164,-549.52,-0.34,968428761.08,-500294446.02,4.117055402466,-7.1919,91.8291,0.008752374822,能源金属,2021-04-28,2020-03-31
002837,英维克,数据中心温控设备,0.84,4.8562460561251255,35.6389149817,17.7040634083,77.58,0.03,216929723.87,10534641.16,5.846057508993,-55.6153,-81.9412,-0.440318512252,专用设备,2021-04-27,2020-03-31
002851,麦格米特,工业电源与控制,2.81,8.593669676361412,27.0748665926,-14.6946051567,-2.38,0.1206,659846715.03,56705047.06,4.26616938351,-27.3025,-33.4415,0.192187706916,其他电源设备Ⅱ,2021-04-27,2020-03-31
300054,鼎龙股份,半导体工艺材料,0.38,5.087960156420088,27.7202893677,4.47,-73.03,0.0147,282998345.65,14398843.07,3.863651145094,-19.6963,110.1177,0.033231889261,电子化学品Ⅱ,2021-04-22,2020-03-31
300308,中际旭创,高速光模块,2.19,11.587586095561948,24.9439589175,51.44,54.43,0.2,1326090400.82,153661866.9,9.949844248065,-10.0201,-1.2473,-0.479337841215,通信设备,2021-04-27,2020-03-31
300373,扬杰科技,功率半导体器件,2.16,11.410691560379858,30.9857448111,19.76,58.56,0.12,487190135.11,55591763.63,5.536374801441,-18.3908,-27.6134,0.294347025515,半导体,2021-04-23,2020-03-31
300394,天孚通信,光无源器件与光引擎,3.9,29.724669361946393,47.0640682597,39.91,37.39,0.2351,156570234.99,46539984.67,6.120504152373,12.2959,15.3488,0.390514273342,通信设备,2021-04-23,2020-03-31
300475,香农芯创,存储芯片与模组,0.86,23.232211829219416,30.9363619711,-18.05,-42.46,0.03,47474059.47,11029274.06,4.3130237492,-44.8497,6.9217,0.100041845833,其他电子Ⅱ,2021-04-29,2020-03-31
300476,胜宏科技,PCB 印制电路板,3.09,10.955062829208806,24.9746095253,22.85,7.82,0.13,953820795.91,104491667.47,4.401753979341,-21.0303,0.3846,0.450380485233,元件,2021-05-31,2020-03-31
300502,新易盛,高速光模块,4.14,20.818436031145534,35.2536435964,20.61,73.45,0.24,270030885.97,56216207.26,5.87729258411,-31.3995,-29.6201,0.437856360686,通信设备,2021-04-23,2020-03-31
300604,长川科技,半导体测试设备,0.45,3.939919580838795,49.540495937,164.8,825.32,0.01,113208688.87,4460331.3,3.187423808071,-42.3577,-57.9799,-0.094021202579,半导体,2021-04-29,2020-03-31
300620,光库科技,光无源器件与光引擎,1.25,10.607497677923641,37.9288219284,1.33,45.63,0.088,75916312.73,8052821.11,7.043701477357,-32.6097,-9.9547,0.14540421898,通信设备,2021-04-27,2020-03-31
300661,圣邦股份,模拟与光芯片设计,2.68,15.732335760099152,50.0341480899,72.05,91.29,0.1964,192854110.43,30340456.18,11.136076998787,-25.3822,-45.9379,-0.203375968775,半导体,2021-04-27,2020-03-31
300666,江丰电子,半导体基础材料,2.56,7.003683544404472,33.7586212685,43.34,55.65,0.08,238827841.72,16726746.25,3.257685972436,-6.8368,-47.1628,-0.280055836442,半导体,2021-04-16,2020-03-31
