code,name,sector,roe,net_margin,gross_margin,rev_yoy,profit_yoy,eps,revenue,net_profit,bps,rev_qoq,profit_qoq,cps,industry,pub_date,report_date
000657,中钨高新,稀土与钨金属,9.51,6.631152840548705,21.8256427705,13.3932709278,18.26,0.3821,12755273585.43,845821686.68,4.332431646622,10.0806,15.9106,-0.009930839217,小金属,2025-10-27,20250930
000938,紫光股份,网络交换设备,10.09,1.8156049255164852,13.7196929678,31.4110529355,-11.24,0.4908,77321505402.98,1403853060.58,5.058968239018,12.246,-47.5748,0.095219511307,IT服务Ⅱ,2025-10-31,20250930
000977,浪潮信息,AI 服务器与算力硬件,7.24,1.22819160396508,4.9054736958,44.8467353909,15.35,1.0067,120669018861.99,1482046758.25,14.310256985079,21.4271,103.4049,-8.541288224057,计算机设备,2025-10-31,20250930
002050,三花智控,热管理部件,13.67,13.493338284882917,28.0837475027,16.8576260803,40.85,0.84,24029313453.31,3242356551.79,7.51617510531,-9.6215,-6.1422,0.726618515956,家电零部件Ⅱ,2025-10-31,20250930
002371,北方华创,刻蚀与制程设备,15.31,18.791514081671316,41.4069253389,32.9694718089,14.83,7.1093,27301379656.81,5130342602.7,49.756484021339,40.6315,18.1342,-3.542951217865,半导体,2025-10-31,20250930
002384,东山精密,PCB 印制电路板,6.17,4.5188373138820594,13.7875857622,2.2833988981,14.61,0.7,27070627389.75,1223277611.59,11.633960762551,21.1009,53.9903,1.608336583942,元件,2025-10-22,20250930
002460,赣锋锂业,锂矿与锂电材料,0.06,0.17449824908132416,13.463261806,5.0240291618,103.99,0.01,14624798503.34,25520017.32,20.23233878068,35.7146,417.405,-0.208584545517,能源金属,2025-10-29,20250930
002466,天齐锂业,锂矿与锂电材料,0.43,2.4319267001536318,38.9801662145,-26.5031250022,103.16,0.11,7397268288.91,179896142.6,25.837196939086,14.0588,580.6959,1.336237003684,能源金属,2025-10-30,20250930
002837,英维克,数据中心温控设备,12.97,9.912235724972572,27.3198916274,40.1946970311,13.13,0.41,4026030778.35,399069661.11,3.392592080449,-11.439,9.4251,-0.32669351859,专用设备,2025-10-14,20250930
002851,麦格米特,工业电源与控制,3.46,3.1308022481829427,21.8341437428,15.0461572117,-48.29,0.3911,6791246681.69,212620503.79,11.393623974456,-10.1759,-41.1621,0.164831318414,其他电源设备Ⅱ,2025-10-30,20250930
300054,鼎龙股份,半导体工艺材料,10.8,19.25147386945472,50.823010158,11.2266184425,38.02,0.55,2698067131.91,519417688.88,5.232861371553,6.4893,22.538,0.813576159571,电子化学品Ⅱ,2025-10-28,20250930
