code,name,sector,roe,net_margin,gross_margin,rev_yoy,profit_yoy,eps,revenue,net_profit,bps,rev_qoq,profit_qoq,cps,industry,pub_date,report_date
000657,中钨高新,稀土与钨金属,5.66,3.3042765786520953,16.1692453602,-4.2447694486,-20.85,0.2257,9548032998.76,315493418.1,4.110759952499,-13.964,-48.4495,-0.310883118519,小金属,2024-10-26,2023-09-30
000938,紫光股份,网络交换设备,4.72,2.7906067288309298,19.9029827265,2.4585163203,-6.03,0.5387,55214844320.45,1540829160.92,11.671982505486,-1.7798,-11.0556,-1.535300497737,IT服务Ⅱ,2024-10-31,2023-09-30
000977,浪潮信息,AI 服务器与算力硬件,4.21,1.605547280760694,9.6599883543,-8.5483250349,-49.12,0.4942,48256015730.22,774773148.36,11.540137254826,51.3182,301.0858,-3.805173426519,计算机设备,2024-10-31,2023-09-30
002050,三花智控,热管理部件,14.81,11.380988969542788,27.401230934,21.6475130184,32.68,0.59,18975778199.5,2159631223.77,4.613694774804,-5.8876,-3.6078,0.633239628246,家电零部件Ⅱ,2024-10-31,2023-09-30
002371,北方华创,刻蚀与制程设备,13.62,19.770668021726117,39.8340988341,45.7043847909,71.06,5.4478,14588362292.87,2884216678.73,42.581104158266,35.2613,-10.1505,2.142883219221,半导体,2024-10-30,2023-09-30
002384,东山精密,PCB 印制电路板,7.9,5.922886257404379,13.9737090269,-1.3936018949,-15.69,0.78,22500654254.57,1332688158.67,10.123724208024,23.4517,43.9903,2.165625059037,元件,2024-10-29,2023-09-30
002460,赣锋锂业,锂矿与锂电材料,13.24,23.401043662438674,17.3176780583,-6.9886959829,-59.38,2.98,25681961591.04,6009847045.29,24.047947231815,-13.4407,-95.377,-0.678724110306,能源金属,2024-10-31,2023-09-30
002466,天齐锂业,锂矿与锂电材料,15.79,24.247652470797604,86.6353579867,35.5158251073,-49.33,4.93,33399166232.91,8098513756.3,32.055318531465,-35.8788,4.363,12.207502649842,能源金属,2024-10-31,2023-09-30
002837,英维克,数据中心温控设备,9.38,10.147037348551471,32.6306579049,39.5148457814,79.91,0.29,2071884070.28,210234850.43,4.10207536452,17.0949,77.1257,0.041042688371,专用设备,2024-10-25,2023-09-30
002851,麦格米特,工业电源与控制,12.11,9.898314295647753,25.0901574721,22.3413251459,58.57,0.9678,4876136890.22,482655354.88,8.099877116435,-7.8994,-59.3487,0.633399481291,其他电源设备Ⅱ,2024-10-31,2023-09-30
300054,鼎龙股份,半导体工艺材料,4.05,9.412880828562137,35.7761009863,-4.2385666518,-40.21,0.19,1872520311.69,176258105.43,4.701688225911,16.4067,31.4825,0.38465783152,电子化学品Ⅱ,2024-10-25,2023-09-30
300308,中际旭创,高速光模块,10.09,18.43263664990096,31.7465213637,2.4079010999,52.01,1.2,7030290371.6,1295867879.63,16.902622010069,39.666,87.4805,1.797052096633,通信设备,2024-10-23,2023-09-30
300373,扬杰科技,功率半导体器件,8.59,15.292525645672756,30.8745140849,-8.5402933997,-33.39,1.17,4040670425.26,617920561.04,14.621218091169,7.7332,-9.4898,0.766192542827,半导体,2024-10-23,2023-09-30
300394,天孚通信,光无源器件与光引擎,15.75,36.40434258842753,52.9363065012,35.5739751214,58.42,1.1132,1206110652.99,439076654.11,7.317870037846,43.6821,41.1574,1.245731362765,通信设备,2024-10-23,2023-09-30
300475,香农芯创,存储芯片与模组,9.34,2.839418378078117,4.6106766847,-29.0984554422,39.5,0.48,7634510283.29,216775688.06,5.422636612433,19.4396,-55.8484,-0.194683540017,其他电子Ⅱ,2024-10-26,2023-09-30
300476,胜宏科技,PCB 印制电路板,8.12,10.197427136090976,22.036064153,-3.728912958,-8.45,0.68,5743789807.99,585718780.52,8.596345195868,8.4305,9.8526,0.823595390657,元件,2024-10-29,2023-09-30
300502,新易盛,高速光模块,8.51,20.582353437294763,28.1922525544,-13.5621700646,-43.66,0.61,2087047551.82,429563503.52,7.330076350384,11.0585,-21.7866,1.235470631858,通信设备,2024-10-25,2023-09-30
300604,长川科技,半导体测试设备,0.06,0.10965774134829441,57.5051917077,-31.0567937779,-99.59,0.0022,1208964687.49,1325723.37,4.613109184797,0.9927,-124.6466,-1.160872589262,半导体,2024-10-24,2023-09-30
300620,光库科技,光无源器件与光引擎,2.81,8.908917934389194,34.8767685501,6.10679267,-48.11,0.1903,524065400.69,46688556.47,6.862296735053,0.8579,-7.7787,0.279675623199,通信设备,2024-10-23,2023-09-30
300661,圣邦股份,模拟与光芯片设计,3.98,7.550763950608699,50.5362030513,-22.0187516623,-81.08,0.3044,1881173936.03,142043003.41,7.844776435834,15.3656,-11.8119,-0.15287508637,半导体,2024-10-26,2023-09-30
300666,江丰电子,半导体基础材料,4.69,10.429472861654332,29.2865810043,9.8381134097,-13.02,0.73,1851772408.94,193130100.85,15.830740142816,3.4545,-58.6223,0.939525017789,半导体,2024-10-24,2023-09-30
300757,罗博特科,自动化与真空设备,3.66,2.995031835014687,22.5349428019,92.4587480371,2955.05,0.21,1080590798.79,32364038.43,8.361051547298,22.8178,52.3962,-0.359800938202,自动化设备,2024-10-28,2023-09-30
301018,申菱环境,数据中心温控设备,6.8,8.003099479591976,28.1666981703,19.6120546013,9.03,0.58,1861651709.19,148989838.25,9.472102136912,3.7169,36.2529,-0.17623448314,通用设备,2024-10-29,2023-09-30
301165,锐捷网络,网络交换设备,6.56,3.505412352275313,38.7123259612,5.9203360481,-45.86,0.4905,7950904037.84,278711972.26,7.311116110231,16.4632,584.1796,0.621492210368,通信设备,2024-10-25,2023-09-30
301308,江波龙,存储芯片与模组,-14.04,-13.419048412509746,2.6233269233,-0.7345332836,-521.76,-2.14,6578907456.56,-882826776.61,14.339942682614,29.0299,9.0537,-4.126831177349,半导体,2024-10-29,2023-09-30
301392,汇成真空,自动化与真空设备,,13.574713128035906,32.8957960596,,,0.7,388416951.45,52726486.9,,-22.6203,-76.242,,专用设备,2024-10-29,2023-09-30
301629,矽电股份,设备零部件与耗材,,17.341587737292706,,-2.0521553424,-41.2025037806,,354251300.0,61432800.0,,,,,半导体,2025-01-13,2023-09-30
600030,中信证券,头部券商,6.19,35.83304257001055,,-8.0582913763,-0.93,1.08,45806736635.58,16413947438.56,16.780533414101,-11.4228,-13.2521,-3.663574860927,证券Ⅱ,2024-10-30,2023-09-30
600111,北方稀土,稀土与钨金属,6.81,5.53869038187803,12.4446519761,-10.9826657903,-70.19,0.3819,24923133762.93,1380415212.59,5.72317950596,16.3866,141.9832,0.598510785959,小金属,2024-10-30,2023-09-30
600183,生益科技,覆铜板与 PCB 基材,6.65,7.280223094056215,19.5325219835,-9.7153158168,-24.88,0.38,12347510596.81,898926318.01,5.814141950342,8.2896,12.0112,0.924794667134,元件,2024-10-29,2023-09-30
600276,恒瑞医药,创新药研发,8.91,20.41762226359892,84.3798545949,6.6999455302,9.47,0.55,17013632174.61,3473779150.73,6.213652055823,2.9808,9.0124,0.675477291877,化学制药,2024-10-25,2023-09-30
