code,name,sector,roe,net_margin,gross_margin,rev_yoy,profit_yoy,eps,revenue,net_profit,bps,rev_qoq,profit_qoq,cps,industry,pub_date,report_date
000657,中钨高新,稀土与钨金属,2.16,3.5579119482855055,18.8391385984,12.7684792353,37.82,0.1,3027071298.15,107700531.4,4.69081563873,25.9162,-17.1234,-0.191206463501,小金属,2023-04-28,2022-03-31
000938,紫光股份,网络交换设备,1.23,2.4263336551581767,21.9129795943,13.5812752296,35.26,0.13,15341646413.66,372239530.19,10.60522200851,-23.3428,-31.8293,-0.813608915081,IT服务Ⅱ,2023-04-28,2022-03-31
000977,浪潮信息,AI 服务器与算力硬件,2.18,1.9331099960466245,11.1809164599,48.1139305526,38.33,0.2297,17276883283.57,333981157.76,9.97115757424,-16.9399,-48.7737,-10.51229097701,计算机设备,2023-04-28,2022-03-31
002050,三花智控,热管理部件,3.97,9.430367479151196,23.2997982157,40.9409955025,25.81,0.13,4803574775.23,452994753.44,3.11533934818,11.6869,15.8931,0.035067403905,家电零部件Ⅱ,2023-04-29,2022-03-31
002371,北方华创,刻蚀与制程设备,1.21,9.666946693977424,44.6440919315,50.0419317106,183.18,0.3927,2135734862.37,206460350.67,32.82187674085,-39.1546,-50.7389,-2.461495959514,半导体,2023-04-29,2022-03-31
002384,东山精密,PCB 印制电路板,2.47,4.981265355761454,14.1234025719,-2.6095954292,48.62,0.21,7312341630.6,364247140.34,8.74964388868,-26.7738,-45.1791,0.401062996445,元件,2023-04-25,2022-03-31
002460,赣锋锂业,锂矿与锂电材料,14.92,65.70191144528917,66.6515608482,233.9053590794,640.41,1.75,5365267017.62,3525082984.72,17.605197727482,30.5908,27.9238,0.789499693505,能源金属,2023-04-28,2022-03-31
002466,天齐锂业,锂矿与锂电材料,22.7,63.30369067021331,85.2842517114,481.4088506102,1442.65,2.25,5257158413.95,3327975300.41,11.21198353174,38.6893,114.8401,2.597394307009,能源金属,2023-04-29,2022-03-31
002837,英维克,数据中心温控设备,0.68,3.170170545861386,27.3831388183,17.0995369094,-59.26,0.03,400173374.16,12686178.44,5.592486038387,-44.7688,-76.3448,0.175616071742,专用设备,2023-04-27,2022-03-31
002851,麦格米特,工业电源与控制,2.3,6.1572643039202,24.0778755988,34.1277002065,-9.25,0.1476,1193161502.15,73466107.26,6.3771330056,-3.3053,8.1125,0.027970625775,其他电源设备Ⅱ,2023-04-29,2022-03-31
300054,鼎龙股份,半导体工艺材料,1.76,12.5274780911726,38.9954763528,9.5669621458,90.12,0.0759,569699143.28,71368935.36,4.358578746122,-19.1481,13.4195,0.077064101768,电子化学品Ⅱ,2023-04-27,2022-03-31
300308,中际旭创,高速光模块,1.87,10.409376887732256,26.2810836257,41.91341577,63.38,0.27,2088622649.99,217412603.4,14.664232833523,-11.9957,-31.3883,1.125188384468,通信设备,2023-04-24,2022-03-31
300373,扬杰科技,功率半导体器件,5.29,19.505509602198604,36.7266704917,50.4633590975,77.82,0.54,1417502290.27,276491045.34,10.474343145466,22.6511,35.8695,-0.048828261295,半导体,2023-04-28,2022-03-31
300394,天孚通信,光无源器件与光引擎,3.49,29.318435996860376,49.693888139,16.1759565388,18.09,0.212,282751462.83,82898306.66,6.165953891806,6.109,-11.2473,0.304185154343,通信设备,2023-04-21,2022-03-31
300475,香农芯创,存储芯片与模组,3.47,1.459340791089375,3.5913330803,5104.0890360857,9.43,0.13,3763171822.19,54917501.44,3.829084133738,-17.6274,-34.0011,0.025791325381,其他电子Ⅱ,2023-04-25,2022-03-31
300476,胜宏科技,PCB 印制电路板,2.42,9.963082634194318,21.6090598201,29.2196512502,10.77,0.23,2028502935.29,202101423.68,7.470093543766,-0.8608,319.4327,0.41304527423,元件,2023-04-28,2022-03-31
300502,新易盛,高速光模块,3.29,17.93100197760329,33.1165762081,18.289471854,17.81,0.26,738513303.86,132422835.12,8.067958194403,-16.9356,-32.8003,0.033868685968,通信设备,2023-04-27,2022-03-31
300604,长川科技,半导体测试设备,3.93,13.223753767500265,53.0888553075,82.3710570387,60.1,0.12,537645018.2,71096853.35,3.06725920822,21.4862,-19.8754,-0.295993189472,半导体,2023-04-28,2022-03-31
300620,光库科技,光无源器件与光引擎,1.49,16.27772600185719,39.2173002464,-2.960235941,-7.56,0.1382,140975238.97,22947563.13,9.48791802581,-21.9604,-31.0187,-0.017039663204,通信设备,2023-04-15,2022-03-31
300661,圣邦股份,模拟与光芯片设计,10.22,33.578613127218894,60.620962728,96.8068560625,244.98,0.7333,775336674.31,260347302.3,11.402832749654,10.2779,4.8932,1.229411691307,半导体,2023-04-22,2022-03-31
300666,江丰电子,半导体基础材料,2.27,6.82998462431716,29.9615043025,54.2877672588,90.15,0.14,489657648.29,33443542.09,6.415301526068,4.0752,194.0847,-0.290030351196,半导体,2023-04-28,2022-03-31
300757,罗博特科,自动化与真空设备,0.34,1.4748785454081006,28.3064773231,-21.0540365285,-83.13,0.03,198484253.44,2927401.67,7.746217399625,-4.1034,103.7288,-0.855892055596,自动化设备,2023-04-26,2022-03-31
301018,申菱环境,数据中心温控设备,2.51,8.428306392553928,27.6542595049,120.5049772866,758.87,0.15,434942502.0,36658286.7,6.152946868547,-44.005,-35.2263,0.201343016208,通用设备,2023-04-28,2022-03-31
301165,锐捷网络,网络交换设备,6.85,5.493405004772743,38.0745616851,57.9271799607,652.4135399542,0.22,2022915937.81,111126965.37,,-37.8931,129.864,,通信设备,2023-04-26,2022-03-31
301308,江波龙,存储芯片与模组,3.65,6.957817442854868,16.8750799556,-5.7681809385,-20.75,0.44,2330322135.09,162139559.99,12.185635639853,12.5622,149.3686,-0.890259915263,半导体,2023-04-25,2022-03-31
600030,中信证券,头部券商,2.26,34.36503330061545,,-7.2002208119,1.24,0.36,15216257790.55,5229072056.83,15.556679395697,-18.6826,-4.1325,5.22397662867,证券Ⅱ,2023-04-28,2022-03-31
600111,北方稀土,稀土与钨金属,9.66,15.883552983107283,28.7289495751,49.7193892267,88.51,0.431,9809681824.76,1558126010.11,4.65576717227,55.2819,-21.3459,0.527841164267,小金属,2023-04-29,2022-03-31
600183,生益科技,覆铜板与 PCB 基材,3.61,10.119034083064646,23.6464676707,5.823764982,-11.37,0.21,4767684604.18,482443630.07,5.885211044244,-2.6149,-1.5987,0.197542945566,元件,2023-04-29,2022-03-31
600276,恒瑞医药,创新药研发,3.47,22.578084240625916,84.388267,-20.9338189031,-17.35,0.19,5478539090.55,1236949171.02,5.681565646584,-3.9957,282.9368,0.023210018622,化学制药,2023-04-22,2022-03-31
600460,士兰微,功率半导体器件,4.1,13.415080173579769,31.429472396,35.6510913604,54.54,0.19,2001080840.64,268446599.11,4.717433101426,1.4672,-66.0256,-0.20492144877,半导体,2023-04-29,2022-03-31
600584,长电科技,半导体封装测试,4.02,10.584802000082984,18.9125841529,21.2442857639,123.04,0.48,8138342221.17,861427410.2,12.262332740992,-5.2061,2.1703,0.921353823455,半导体,2023-04-26,2022-03-31
600900,长江电力,水电运营,1.4,25.256728756373764,47.4673516273,38.6821932727,9.34,0.1313,12301661386.16,3106997248.83,8.109583149489,-35.9246,-53.2129,0.186844535189,电力,2023-04-28,2022-03-31
601088,中国神华,煤炭开采运营,4.91,22.6240137303044,40.3184667827,24.1006981422,63.3,0.955,83902000000.0,18982000000.0,19.980703187713,-17.9579,99.17,1.431208769672,煤炭开采,2023-04-29,2022-03-31
601138,工业富联,AI 服务器与算力硬件,2.72,3.098905792916293,6.771073374,6.7939164964,2.11,0.16,105062471000.0,3255787000.0,6.16976779644,-21.7119,-63.8368,0.088436385686,消费电子,2023-04-28,2022-03-31
601288,农业银行,国有大型银行,3.3475,37.94878713472383,,-4.703988645,7.42,0.2,185305000000.0,70321000000.0,6.051105339402,17.673,29.8785,1.049425257798,银行Ⅱ,2023-04-29,2022-03-31
601398,工商银行,国有大型银行,3.0375,39.17542350047369,,-1.7443027273,5.72,0.25,230106000000.0,90145000000.0,8.368115665517,8.1493,-6.0963,3.387192170749,银行Ⅱ,2023-04-29,2022-03-31
601600,中国铝业,工业金属铜铝,3.5,2.498269521253566,9.8804934697,52.7693360979,60.52,0.116,80437278000.0,2009540000.0,3.313387973792,1.0721,790.943,0.599601190718,工业金属,2023-04-26,2022-03-31
601689,拓普集团,汽车零部件,3.58,10.304092460862005,20.7682699197,54.3408312223,56.84,0.35,3745011017.28,385889397.89,9.96117348888,2.8923,46.2106,0.351242481026,汽车零部件,2023-04-22,2022-03-31
601869,长飞光纤,光纤光缆,2.06,6.827613222533251,20.4340226601,55.9540829095,141.03,0.27,2981678053.0,203577445.0,13.197096860046,8.522,41.0279,-0.365584065967,通信设备,2023-04-29,2022-03-31
601899,紫金矿业,工业金属铜金,8.19,9.454585117676144,17.318382891,36.3532087236,143.88,0.233,64770745546.0,6123805269.0,2.982501303118,15.4004,40.1183,0.282113807656,工业金属,2023-04-28,2022-03-31
601995,中金公司,头部券商,2.01,32.74137944073827,,-14.5294112061,-11.49,0.32,5071124352.0,1660356066.0,16.007370735797,-39.9517,-50.0474,0.962010893347,证券Ⅱ,2023-04-29,2022-03-31
603186,华正新材,覆铜板与 PCB 基材,1.8,3.6826370798563213,15.2709357219,8.7574672113,-51.35,0.22,836982701.57,30823035.32,11.902376846389,-11.0537,43.7882,-0.469745793553,元件,2023-04-18,2022-03-31
603259,药明康德,医药研发外包,4.16,19.387137695769436,35.7911626301,71.183803153,9.54,0.56,8474419333.59,1642947345.12,13.655953879181,32.8067,7.0374,0.168301766873,医疗服务,2023-04-25,2022-03-31
603296,华勤技术,智能硬件 ODM 代工,,0.8718449713492246,7.9131220813,,,0.2963,22150495788.39,193117983.66,,,,,消费电子,2023-07-20,2022-03-31
603738,泰晶科技,石英晶振元件,4.46,28.120378937796147,42.7286103957,4.2604724127,93.04,0.38,261902656.87,73648019.56,8.71634198264,-23.5851,0.0996,0.561297176245,元件,2023-04-27,2022-03-31
603986,兆易创新,存储芯片与模组,4.95,30.769570523492234,49.4911066174,39.0188372729,127.65,1.04,2229810940.28,686103249.81,21.296181633503,2.2718,-0.3933,-0.000980937814,半导体,2023-04-28,2022-03-31
688008,澜起科技,网络与接口芯片,3.57,33.99496517130052,43.1853398996,200.6122952252,128.23,0.27,900423154.51,306098537.77,7.738874734897,-7.1078,-3.3437,0.228407377083,半导体,2023-04-28,2022-03-31
688012,中微公司,刻蚀与制程设备,0.84,12.346917531989682,45.4666957992,57.3130849815,-14.94,0.19,949143575.28,117189974.5,22.86919054337,-8.327,-75.0431,-0.444521802321,半导体,2023-04-29,2022-03-31
688037,芯源微,涂胶显影设备,3.53,17.64367851630564,38.7501617459,61.9874437583,398.34,0.39,183711477.74,32413462.53,10.880974560816,-34.735,33.5903,-0.015222980536,半导体,2023-04-26,2022-03-31
688072,拓荆科技,薄膜沉积设备,-1.01,-11.047618703135322,47.436871304,86.21,-15.0244339744,-0.13,107517692.9,-11878144.75,12.447206466351,-72.0054,-212.8812,0.732792980301,半导体,2023-04-21,2022-03-31
