rank,code,name,sector,roe,net_margin,rev_yoy,score
1,301308,江波龙,存储芯片与模组,26.213800000000063,38.97813367635298,132.7928324203,2.4061355262908526
2,300308,中际旭创,高速光模块,17.54,29.41313314458227,192.1169094233,1.7002084306177312
3,300475,香农芯创,存储芯片与模组,26.213800000000063,5.585692629216502,197.37418192423405,1.6659834054478795
4,688498,源杰科技,模拟与光芯片设计,7.38,50.50741191306295,197.37418192423405,1.5848077790446315
5,300502,新易盛,高速光模块,14.52,33.344394628834614,105.759481459,1.3830276451948893
6,688072,拓荆科技,薄膜沉积设备,8.25,50.994625124749476,56.9673418563,1.3068294736361363
7,688256,寒武纪,AI/GPU 算力芯片,8.2,35.123746821668014,159.5554734937,1.1312899452209435
8,688008,澜起科技,网络与接口芯片,5.39,50.994625124749476,19.514563386,1.0167258666531291
9,300394,天孚通信,光无源器件与光引擎,8.57,37.001421753802376,40.8242783073,0.9106712367175174
10,603986,兆易创新,存储芯片与模组,6.12,34.890687315616326,119.3786758368,0.8816772736928133
11,600030,中信证券,头部券商,3.46,44.120444908985874,40.9138156047,0.7520090169299801
