K,LB,Trail,MAX_POS,Sector,Floor,Sharpe,Ret%,CAGR%,MDD%,Calmar,Trades,Win%,NegYrs,AvgHold
1.5,14,0.3,5,1,0.8,1.5526464593751006,2477.473029844432,76.03318972402884,28.158757106896314,2.7001614252856236,270,55.55555555555556,0,22.125925925925927
1.5,14,0.22,5,1,0.8,1.5453615690585194,2338.2102036951264,74.33972611809558,28.15875710689632,2.6400215689878284,271,55.71955719557196,0,21.494464944649447
1.5,14,0.35,5,1,0.8,1.5279771971117337,2366.0847718113255,74.68496860274941,31.75446422369546,2.351951778390228,270,55.55555555555556,0,22.22962962962963
1.5,14,0.2,5,1,0.8,1.520038041836815,2187.9920699502713,72.42099635275603,31.38138025248302,2.3077696318671577,273,55.67765567765568,0,21.13186813186813
1.5,14,0.28,5,1,0.8,1.5165209034905263,2263.034514893698,73.39210567791359,28.158757106896314,2.6063687896203076,271,56.08856088560885,0,21.948339483394832
1.5,10,0.22,3,3,0.8,1.511693631240612,2661.9638517532044,78.16389781529864,40.85807339199979,1.9130588235372723,173,56.64739884393064,0,21.184971098265898
1.5,14,0.3,5,1,0,1.50942024850359,2225.3983585234264,72.90829930299627,39.12542647066359,1.8634505967024593,289,55.36332179930796,0,22.269896193771626
1.5,14,0.25,5,1,0.8,1.5067776096612853,2164.918078813397,72.11711329136863,28.15875710689633,2.561090072889137,271,56.08856088560885,0,21.70110701107011
1.5,14,0.35,5,1,0,1.4925252978925403,2156.9162131833355,72.01113196517821,41.40502770206512,1.739188112210503,289,55.36332179930796,0,22.366782006920417
1.5,14,0.28,5,1,0,1.4785209742710888,2059.8919007606783,70.70074089244281,38.75312404476492,1.8243881657327603,290,55.86206896551724,0,22.103448275862068
1.5,14,0.22,5,1,0,1.4763838467944772,1977.188177742718,69.54479821082968,37.94218299797646,1.8329150490507797,291,56.3573883161512,0,21.536082474226806
1.5,10,0.2,3,3,0.8,1.476375461532545,2390.80573232538,74.98846540840067,45.653800517239304,1.6425459558418214,174,56.896551724137936,0,20.770114942528735
1.5,10,0.25,3,3,0.8,1.4715685831570524,2444.4902172786833,75.63907093262907,39.979658596260414,1.8919388906363532,173,56.64739884393064,0,21.421965317919074
1.5,14,0.18,5,1,0.8,1.4709966886740167,1897.6448238194746,68.39658920954774,31.162291184040054,2.194851104034913,274,54.379562043795616,0,20.580291970802918
1.5,14,0.3,5,3,0.8,1.4678481516170638,2034.4469671737675,70.34905114613143,40.16416531307747,1.7515377351368921,276,54.347826086956516,0,22.18840579710145
1.5,14,0.25,5,1,0,1.4663904916865083,1963.8873817627164,69.35535908778805,37.69381300153296,1.839966656728717,290,55.86206896551724,0,21.844827586206897
1.5,14,0.22,5,3,0.8,1.461958705293131,1926.1515082472251,68.81235507241885,39.122666223955996,1.758887154533526,277,54.87364620938629,0,21.501805054151625
1.5,10,0.18,3,3,0.8,1.4597727661200661,2260.493692670933,73.35964493553648,43.22497447727597,1.6971587796796217,175,56.00000000000001,0,20.222857142857144
1.5,14,0.35,5,3,0.8,1.4574115274126278,2012.948176321005,70.04919410116432,42.49948856522691,1.6482361662695062,276,54.347826086956516,0,22.355072463768117
1.5,10,0.28,3,3,0.8,1.4514188405075674,2334.9884902241615,74.29961348007805,42.18483253513772,1.761287387313685,173,56.64739884393064,0,21.502890173410403
1.5,10,0.3,3,3,0.8,1.4462294981200272,2306.5215445750264,73.9432615563463,42.753630225000904,1.7295200703940863,173,56.06936416184971,0,21.53757225433526
1.5,14,0.3,5,3,0,1.4354311093761134,1871.5317389945976,68.01141062654135,43.64579229266964,1.5582581287672934,290,54.137931034482754,0,22.348275862068967
1.5,14,0.28,5,3,0.8,1.4352034963080331,1873.9925299268273,68.0478875287012,39.80186002854226,1.7096660176158467,277,54.87364620938629,0,22.014440433212997
1.5,14,0.2,5,1,0,1.4349043977716842,1765.9057759906275,66.40904886023353,41.54449242443462,1.5985042778179348,293,55.972696245733786,0,21.139931740614333
1.5,14,0.25,5,3,0.8,1.4299479902965375,1816.896920953559,67.19169522587238,38.42559901749269,1.7486180292279727,277,54.87364620938629,0,21.772563176895307
1.5,14,0.2,5,3,0.8,1.429034624012262,1766.3034549694025,66.41522068547422,45.89109698822962,1.4472354126228175,279,54.83870967741935,0,21.11111111111111
1.5,10,0.22,3,1,0.8,1.4285172535571855,2194.690196621403,72.50873612842628,49.651025881800784,1.4603673305973688,171,55.55555555555556,0,21.309941520467838
1.5,14,0.35,5,3,0,1.4279636909965432,1863.5975857923825,67.89354408735055,45.62575580402585,1.488053028183697,290,54.137931034482754,0,22.50689655172414
1.5,10,0.35,3,3,0.8,1.4246781994830264,2211.1525629483012,72.72348369300477,46.2727574075385,1.5716263254533662,173,56.06936416184971,0,21.69364161849711
1.5,10,0.25,3,1,0.8,1.4139050296682871,2152.070000339651,71.9467949304395,45.60608084268659,1.577570218730534,171,56.14035087719298,0,21.549707602339183
1.5,14,0.22,5,3,0,1.413724563077229,1705.9990278148962,65.46666215508321,44.77300461890455,1.4621905032355402,292,55.13698630136986,0,21.55821917808219
1.5,10,0.22,3,3,0,1.4131115525007099,2059.433263153818,70.69443214531472,44.149769803004304,1.6012412400053808,178,55.61797752808989,0,21.258426966292134
1.5,14,0.22,8,1,0.8,1.4121841776125368,1673.5777709073943,64.9458296069679,28.641818579918425,2.26751766567306,332,53.01204819277109,1,22.05722891566265
1.5,14,0.3,8,1,0.8,1.4028919724103217,1707.7953746538903,65.49529317641579,31.389581235341513,2.0865296891146374,331,52.567975830815705,1,22.65558912386707
1.5,14,0.28,5,3,0,1.4026229668065298,1723.0972154171739,65.73823318186693,43.31162789669319,1.517796406513873,291,54.63917525773196,0,22.18213058419244
1.5,14,0.18,5,3,0.8,1.4022544530194718,1611.8988717093014,63.93288394960776,44.363238098378346,1.4411230264083172,280,53.92857142857142,0,20.492857142857144
1.5,10,0.28,3,1,0.8,1.394064194419017,2055.1525302663676,70.63549548727525,47.604537535097755,1.4837975357957696,171,56.14035087719298,0,21.63157894736842
1.5,10,0.2,3,1,0.8,1.392832587784073,1969.4070604969556,69.43409621600642,53.73374612368698,1.2921878935479318,172,55.81395348837209,0,20.88953488372093
1.5,14,0.25,5,3,0,1.3916587468578512,1648.599616110031,64.5391767539949,42.26497107532944,1.5270133898581364,291,54.63917525773196,0,21.924398625429554
1.5,10,0.22,5,3,0.8,1.3896958413733398,1711.1850337877834,65.5492552137261,41.6956782713936,1.572087514371912,241,55.601659751037346,0,21.29045643153527
1.5,10,0.3,3,1,0.8,1.3889431566835186,2029.9570888131555,70.2866347763434,48.12001503548659,1.4606528016358644,171,55.55555555555556,0,21.666666666666668
1.5,10,0.22,3,1,0,1.3884621361916836,1950.658510227221,69.16594149231143,50.192094253407085,1.37802461764417,176,54.54545454545454,0,21.380681818181817
1.5,10,0.2,3,3,0,1.3843146248095621,1881.4196228887329,68.15775385088413,47.60714775053003,1.431670601398827,179,55.865921787709496,0,20.849162011173185
1.5,10,0.25,3,3,0,1.3831665518387763,1934.7289031720177,68.9365093562566,44.1172789120872,1.5625739178888804,178,55.0561797752809,0,21.51123595505618
1.5,14,0.18,5,1,0,1.3819116941873655,1517.8684608468616,62.329030103892016,40.931398285633705,1.5227681612276742,294,54.421768707483,0,20.551020408163264
1.5,10,0.28,3,3,0,1.3800434582371228,1936.010491526974,68.95502268671672,45.844400552249034,1.5041100299289205,178,55.0561797752809,0,21.724719101123597
1.5,10,0.3,3,3,0,1.3748101821604444,1911.8328464915548,68.60412769169366,46.377194647808075,1.4792642852306743,178,54.49438202247191,0,21.758426966292134
1.5,14,0.35,8,1,0.8,1.3726647127935412,1609.0517688729637,63.885402759235824,33.63015469068327,1.8996464139647362,331,52.567975830815705,1,22.758308157099698
1.5,10,0.18,3,1,0.8,1.3721273392323383,1829.005508703565,67.37501585075651,50.28146149786733,1.3399573887408622,173,54.91329479768786,0,20.277456647398843
