date,equity
2020-01-02,10000000.00
2020-01-03,10000000.00
2020-01-06,10000000.00
2020-01-07,10000000.00
2020-01-08,10000000.00
2020-01-09,10000000.00
2020-01-10,10000000.00
2020-01-13,10000000.00
2020-01-14,10000000.00
2020-01-15,10000000.00
2020-01-16,10000000.00
2020-01-17,10000000.00
2020-01-20,10000000.00
2020-01-21,10000000.00
2020-01-22,10000000.00
2020-01-23,10000000.00
2020-02-03,10000000.00
2020-02-04,10000000.00
2020-02-05,10000000.00
2020-02-06,10000000.00
2020-02-07,10000000.00
2020-02-10,10000000.00
2020-02-11,10000000.00
2020-02-12,10000000.00
2020-02-13,10000000.00
2020-02-14,10000000.00
2020-02-17,10000000.00
2020-02-18,10000000.00
2020-02-19,10000000.00
2020-02-20,10000000.00
2020-02-21,10000000.00
2020-02-24,10000000.00
2020-02-25,10000000.00
2020-02-26,10000000.00
2020-02-27,10000000.00
2020-02-28,10000000.00
2020-03-02,10000000.00
2020-03-03,10000000.00
2020-03-04,10000000.00
2020-03-05,10000000.00
2020-03-06,10000000.00
2020-03-09,10000000.00
2020-03-10,10000000.00
2020-03-19,10000000.00
2020-03-20,10000000.00
2020-03-23,10000000.00
2020-03-24,10000000.00
2020-03-25,10000000.00
2020-03-26,10000000.00
2020-03-27,10000000.00
2020-03-30,10000000.00
2020-03-31,10000000.00
2020-04-01,10000000.00
2020-04-02,10000000.00
2020-04-03,10000000.00
2020-04-07,10000000.00
2020-04-08,10000000.00
2020-04-09,10000000.00
2020-04-10,10000000.00
2020-04-13,10000000.00
2020-04-14,10000000.00
2020-04-15,10000000.00
2020-04-16,10000000.00
2020-04-17,10000000.00
2020-04-20,10000000.00
2020-04-21,10000000.00
2020-04-22,10000000.00
2020-04-23,10000000.00
2020-04-24,10000000.00
2020-04-27,10000000.00
2020-04-28,10000000.00
2020-04-29,10000000.00
2020-04-30,10000000.00
2020-05-06,10000000.00
2020-05-07,10000000.00
2020-05-08,10000000.00
2020-05-11,10000000.00
2020-05-12,10000000.00
2020-05-13,10000000.00
2020-05-14,10000000.00
2020-05-15,10000000.00
2020-05-18,10000000.00
2020-05-19,10000000.00
2020-05-20,10000000.00
2020-05-21,10000000.00
2020-05-22,10000000.00
2020-05-25,10000000.00
2020-05-26,10000000.00
2020-05-27,10000000.00
2020-05-28,10000000.00
2020-06-01,10000000.00
2020-06-02,10000000.00
2020-06-03,10000000.00
2020-06-04,10000000.00
2020-06-05,10000000.00
2020-06-08,10000000.00
2020-06-09,10000000.00
2020-06-10,10000000.00
2020-06-11,10000000.00
2020-06-12,10000000.00
2020-06-15,10000000.00
2020-06-16,10000000.00
2020-06-17,10000000.00
2020-06-18,10000000.00
2020-06-19,10000000.00
2020-06-22,10000000.00
2020-06-23,10000000.00
2020-06-24,10000000.00
2020-06-29,10000000.00
2020-06-30,10000000.00
2020-07-01,10000000.00
2020-07-02,10000000.00
2020-07-03,10000000.00
2020-07-06,10000000.00
2020-07-07,10000000.00
2020-07-08,10000000.00
2020-07-09,10000000.00
2020-07-10,10000000.00
2020-07-27,10000000.00
2020-07-28,10000000.00
2020-07-29,10000000.00
2020-07-30,10000000.00
2020-07-31,10000000.00
2020-08-03,10000000.00
2020-08-04,10000000.00
2020-08-05,10000000.00
2020-08-06,10000000.00
2020-08-07,10000000.00
2020-08-10,10000000.00
2020-08-11,10000000.00
2020-08-12,10000000.00
2020-08-13,10000000.00
2020-08-14,10000000.00
2020-08-19,10000000.00
2020-08-20,10000000.00
2020-08-21,10000000.00
2020-08-24,10000000.00
2020-08-25,10000000.00
2020-08-26,10000000.00
2020-08-27,10000000.00
2020-08-28,10000000.00
2020-08-31,10000000.00
2020-09-01,10000000.00
2020-09-02,10000000.00
2020-09-03,10000000.00
2020-09-04,10000000.00
2020-09-07,10000000.00
2020-09-08,10000000.00
2020-09-09,10000000.00
2020-09-10,10000000.00
2020-09-11,10000000.00
2020-09-14,10000000.00
2020-09-15,10000000.00
2020-09-16,10000000.00
2020-09-17,10000000.00
2020-09-18,10000000.00
2020-09-21,10000000.00
2020-09-22,10000000.00
2020-09-23,10000000.00
2020-09-24,10000000.00
2020-09-25,10000000.00
2020-09-28,10000000.00
2020-09-29,10000000.00
2020-09-30,10000000.00
2020-10-09,10000000.00
2020-10-12,10000000.00
2020-10-13,10000000.00
2020-10-14,10000000.00
2020-10-15,10000000.00
2020-10-16,10000000.00
2020-10-19,10000000.00
2020-10-20,10000000.00
2020-10-21,10000000.00
2020-10-22,10000000.00
2020-10-23,10000000.00
2020-10-26,10000000.00
2020-10-27,10000000.00
2020-10-28,10000000.00
2020-10-29,10000000.00
2020-10-30,10000000.00
2020-11-02,10000000.00
2020-11-03,10000000.00
2020-11-04,10000000.00
2020-11-05,10000000.00
2020-11-06,10000000.00
2020-11-09,10000000.00
2020-11-10,10000000.00
2020-11-11,10000000.00
2020-11-12,10000000.00
2020-11-13,10000000.00
2020-11-16,10000000.00
2020-11-17,10000000.00
2020-11-18,10000000.00
2020-11-19,10000000.00
2020-11-20,10000000.00
2020-11-23,10000000.00
2020-11-24,10000000.00
2020-11-25,10000000.00
2020-11-26,10000000.00
2020-11-27,10000000.00
2020-11-30,10000000.00
2020-12-01,10000000.00
2020-12-02,10000000.00
2020-12-03,10000000.00
2020-12-04,10000000.00
2020-12-07,10000000.00
2020-12-08,10000000.00
2020-12-09,10000000.00
2020-12-10,10000000.00
2020-12-11,10000000.00
2020-12-14,10000000.00
2020-12-15,10000000.00
2020-12-16,10000000.00
2020-12-17,10000000.00
2020-12-18,10000000.00
2020-12-21,10000000.00
2020-12-22,10000000.00
2020-12-23,10000000.00
2020-12-24,10000000.00
2020-12-25,10000000.00
2020-12-28,10000000.00
2020-12-29,10000000.00
2020-12-30,10000000.00
2020-12-31,10000000.00
2021-01-04,9968597.83
2021-01-05,10437056.60
2021-01-06,10237175.78
2021-01-07,10371557.36
2021-01-08,10253938.54
2021-01-11,10343004.53
2021-01-12,10416988.94
2021-01-13,10753755.34
2021-01-14,10830753.75
2021-01-15,10642263.16
2021-01-18,11202791.60
2021-01-19,10993618.10
2021-01-20,11170107.40
2021-01-21,11218120.21
2021-01-22,11328146.61
2021-01-25,11022249.49
2021-01-26,10884499.70
2021-01-27,10922695.23
2021-01-28,10688418.66
2021-01-29,10681296.64
2021-02-01,10669100.64
2021-02-02,10756534.85
2021-02-03,10524334.66
2021-02-04,10359952.48
2021-02-05,10454448.74
2021-02-08,10415946.52
2021-02-09,10522579.17
2021-02-10,10800907.92
2021-02-18,10872328.79
2021-02-19,10996621.36
2021-02-22,11052390.64
2021-02-23,11011356.41
2021-02-24,10771765.28
2021-02-25,10920576.73
2021-02-26,10883989.05
2021-03-01,10846162.15
2021-03-02,10736063.34
2021-03-03,10915759.03
2021-03-04,10953088.73
2021-03-05,11193401.92
2021-03-08,11111387.96
2021-03-09,11144696.13
2021-03-10,10956879.31
2021-03-11,11087940.48
2021-03-12,11193769.51
2021-03-15,11331548.87
2021-03-16,11323636.50
2021-03-17,11120189.33
2021-03-18,11028456.45
2021-03-19,10802790.18
2021-03-22,11086019.66
2021-03-23,11035632.44
2021-03-24,10855392.58
2021-03-25,10825037.81
2021-03-26,10741622.26
2021-03-29,10958956.90
2021-03-30,11060378.22
2021-03-31,11113686.05
2021-04-01,11037091.57
2021-04-02,11000264.20
