K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win,Neg
2.0,30,0.28,8,3,0.8,1.687650362549624,395.60688696101727,95.64641450272411,36.71262015619947,2.605273448089016,199,50.25125628140703,0
1.0,10,0.3,5,1,0,1.6812872113850856,469.26055692749674,107.34941822456258,31.26480672325984,3.4335545130588847,134,52.98507462686567,0
1.0,10,0.3,5,1,0.8,1.6812872113850856,469.26055692749674,107.34941822456258,31.26480672325984,3.4335545130588847,134,52.98507462686567,0
0.5,30,0.18,8,1,0,1.6801142055760627,316.56571304734433,81.90055413100067,29.513171776996476,2.77505090777253,195,56.92307692307692,0
0.5,30,0.18,8,1,0.8,1.6801142055760627,316.56571304734433,81.90055413100067,29.513171776996476,2.77505090777253,195,56.92307692307692,0
0.5,21,0.22,8,3,0,1.679039793923478,376.61655009506046,92.46736535172894,26.688826699044732,3.4646470747640103,203,58.128078817733986,0
0.5,21,0.22,8,3,0.8,1.679039793923478,376.61655009506046,92.46736535172894,26.688826699044732,3.4646470747640103,203,58.128078817733986,0
2.0,30,0.22,8,3,0.8,1.675937069552926,380.4699863658586,93.11831271357391,35.90163033449817,2.5937070780904277,202,49.504950495049506,0
0.5,21,0.35,8,3,0,1.6694338749736992,382.96370340888825,93.53795308724351,26.072758231116904,3.5875741361191813,198,59.09090909090909,0
0.5,21,0.35,8,3,0.8,1.6694338749736992,382.96370340888825,93.53795308724351,26.072758231116904,3.5875741361191813,198,59.09090909090909,0
2.0,30,0.3,8,3,0.8,1.6644396425213208,386.03357035791356,94.05282321785575,36.35992579924791,2.586716588398571,198,50.505050505050505,0
2.0,30,0.28,8,3,0,1.6611061513988363,381.73050955199517,93.33059004246242,36.71262015619947,2.5421936556250446,199,50.753768844221106,0
0.5,30,0.3,8,3,0,1.6595082227314149,329.33843646772976,84.21868622289097,21.93554528252179,3.8393705348184937,195,58.46153846153847,0
0.5,30,0.3,8,3,0.8,1.6595082227314149,329.33843646772976,84.21868622289097,21.93554528252179,3.8393705348184937,195,58.46153846153847,0
1.0,10,0.28,5,1,0,1.6522378898813659,447.5101432915025,103.98991484412372,31.26480672325985,3.326101317836042,134,52.98507462686567,0
1.0,10,0.28,5,1,0.8,1.6522378898813659,447.5101432915025,103.98991484412372,31.26480672325985,3.326101317836042,134,52.98507462686567,0
2.0,30,0.22,8,1,0.8,1.6511521793593957,371.48286470263156,91.59538414401322,36.216187848454204,2.5291282596415723,201,49.25373134328358,0
2.0,30,0.22,8,3,0,1.6490207865521282,367.0175740578547,90.8324386663927,35.90163033449817,2.5300365977840027,202,50.0,0
0.5,30,0.28,8,3,0,1.6453999707863363,322.7798753275463,83.03344666719599,23.762954787751404,3.494239138560139,195,57.948717948717956,0
