序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,买入牛熊,买入池,买入MA6,买入MA15,买入MA8斜率,买入MA60,买入ratio,买入回撤%,卖出牛熊,卖出池,峰值价,退出类型,触发详情
63,512890,中证红利低波ETF,2023-01-06,2023-03-15,0.8275,0.8925,7.86,867131.0,68,熊,def,0.8208,0.8205,0.001755,0.8249,1.0004,4.28,牛,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0004<0"
64,512480,半导体ETF,2023-03-15,2023-03-28,0.4532,0.4657,2.76,327949.0,13,牛,all,0.4407,0.438,0.003,0.4356,1.0061,3.21,牛,all,,Trail止损3%,价0.466≤peak0.490×(1-3%)
65,515880,通信ETF,2023-03-28,2023-04-10,0.1761,0.1879,6.7,819137.0,13,牛,all,0.1752,0.1657,0.015087,0.1525,1.0569,3.83,牛,all,,Trail止损3%,价0.188≤peak0.195×(1-3%)
66,588200,科创芯片ETF,2023-04-10,2023-04-13,0.4813,0.4687,-2.6,-339397.0,3,牛,all,0.4683,0.4417,0.015454,0.3911,1.0602,5.31,牛,all,,Trail止损3%,价0.469≤peak0.484×(1-3%)
67,588200,科创芯片ETF,2023-04-13,2023-04-21,0.4693,0.4867,3.72,473082.0,8,牛,all,0.4848,0.4546,0.013705,0.3975,1.0665,8.22,牛,all,,Trail止损3%,价0.487≤peak0.516×(1-3%)
68,588200,科创芯片ETF,2023-04-21,2023-04-25,0.4873,0.4677,-4.01,-528029.0,4,牛,all,0.4923,0.4803,0.00115,0.411,1.0251,5.8,牛,all,,Trail止损3%,价0.468≤peak0.487×(1-3%)
69,588200,科创芯片ETF,2023-04-25,2023-04-26,0.4683,0.4498,-3.95,-499885.0,1,牛,all,0.4915,0.4859,0.003142,0.4145,1.0115,9.48,牛,all,,Trail止损3%,价0.450≤peak0.468×(1-3%)
70,510880,红利ETF,2023-05-10,2023-05-18,2.7285,2.6935,-1.28,-155768.0,8,熊,all,2.7223,2.6398,0.009974,2.5157,1.0313,4.95,熊,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0009<0"
71,512890,中证红利低波ETF,2023-06-08,2023-06-19,0.9465,0.9175,-3.07,-367789.0,11,熊,def,0.9313,0.9298,0.003104,0.9236,1.0016,4.54,熊,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0001<0"
72,510050,上证50ETF,2023-08-02,2023-08-14,2.5254,2.4467,-3.12,-362464.0,12,熊,def,2.5162,2.4538,0.007248,2.4208,1.0254,3.26,牛,def,,Trail止损3%,价2.448≤peak2.551×(1-3%)
73,510880,红利ETF,2023-08-30,2023-09-11,2.6124,2.6176,0.2,22090.0,12,熊,def,2.6158,2.6117,0.000737,2.5851,1.0016,5.12,熊,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0007<0"
74,510050,上证50ETF,2023-09-12,2023-09-19,2.4363,2.4337,-0.11,-12407.0,7,牛,def,2.452,2.4243,0.00024,2.4359,1.0114,3.98,熊,def,,趋势全空,MA6<MA15且MA8斜率-0.0021<0
75,159937,博时黄金ETF,2023-09-27,2023-10-09,4.5075,4.3976,-2.44,-274852.0,12,熊,def,4.568,4.5471,0.000291,4.4531,1.0046,3.16,熊,def,,趋势全空,MA6<MA15且MA8斜率-0.0014<0
76,518800,黄金ETF,2023-12-05,2023-12-13,4.8016,4.7414,-1.25,-138001.0,8,熊,def,4.8083,4.7744,0.002563,4.7591,1.0071,3.79,熊,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0006<0"
77,510880,红利ETF,2024-01-11,2024-01-18,2.5804,2.5546,-1.0,-108687.0,7,熊,def,2.6113,2.5591,0.004899,2.5657,1.0204,3.44,熊,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0005<0"
78,512890,中证红利低波ETF,2024-02-01,2024-03-06,0.9465,1.0174,7.49,805583.0,34,熊,def,0.9557,0.9381,0.004551,0.9259,1.0187,3.47,熊,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0001<0"
79,510880,红利ETF,2024-03-12,2024-03-15,2.8025,2.7845,-0.64,-74529.0,3,熊,def,2.875,2.8489,0.003546,2.6547,1.0091,3.75,牛,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0018<0"
80,510880,红利ETF,2024-04-22,2024-04-26,2.9376,2.8774,-2.05,-235305.0,4,牛,def,2.9665,2.8797,0.006902,2.7753,1.0302,3.42,牛,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0003<0"
81,513050,中概互联ETF,2024-04-30,2024-05-23,1.0106,1.0954,8.4,944276.0,23,牛,all,0.989,0.9541,0.012616,0.9141,1.0365,3.07,牛,all,,Trail止损3%,价1.096≤peak1.149×(1-3%)
82,513050,中概互联ETF,2024-05-23,2024-05-28,1.0966,1.0964,-0.02,-2292.0,5,牛,all,1.1288,1.0906,0.006855,0.9662,1.0351,5.52,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0024<0"
83,515050,5G通信ETF,2024-05-28,2024-05-29,0.3072,0.3048,-0.76,-92723.0,1,牛,all,0.3163,0.3148,0.000356,0.3099,1.0049,5.83,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0008<0"
84,515050,5G通信ETF,2024-06-11,2024-06-24,0.3142,0.3328,5.93,717856.0,13,牛,all,0.3138,0.3134,0.002043,0.3107,1.0014,3.09,牛,all,,Trail止损3%,价0.333≤peak0.349×(1-3%)
85,159509,纳指科技ETF,2024-06-24,2024-06-25,1.6759,1.6181,-3.45,-442041.0,1,牛,all,1.6985,1.5957,0.011414,1.4203,1.0644,5.53,牛,all,,Trail止损3%,价1.619≤peak1.675×(1-3%)
86,159509,纳指科技ETF,2024-06-25,2024-07-02,1.6199,1.6961,4.7,581819.0,7,牛,all,1.7015,1.6109,0.009216,1.4258,1.0563,8.69,熊,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0002<0"
87,510880,红利ETF,2024-07-10,2024-07-17,2.8836,2.8824,-0.04,-5262.0,7,熊,all,2.9505,2.9248,0.001801,2.9348,1.0088,3.77,熊,all,,趋势全空,MA6<MA15且MA8斜率-0.0031<0
88,515050,5G通信ETF,2024-07-17,2024-07-24,0.3452,0.3238,-6.19,-801568.0,7,熊,all,0.3518,0.3412,0.006022,0.3226,1.0312,4.17,熊,all,,Trail止损6%,价0.324≤peak0.345×(1-6%)
89,588890,科创AIETF,2024-07-24,2024-07-31,1.0826,1.1434,5.61,681942.0,7,熊,all,1.126,1.0801,0.008452,1.0569,1.0425,6.88,熊,all,,趋势全空,MA6<MA15且MA8斜率-0.0051<0
90,159992,创新药ETF,2024-08-09,2024-08-16,0.6313,0.6317,0.05,6205.0,7,熊,all,0.6395,0.6279,0.006196,0.6409,1.0184,3.66,熊,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0017<0"
91,513100,纳指ETF,2024-08-19,2024-08-30,1.4428,1.4162,-1.84,-236397.0,11,熊,all,1.3997,1.3873,0.009071,1.4344,1.0089,3.09,熊,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0013<0"
92,159915,创业板ETF,2024-10-09,2024-10-11,2.2432,2.0589,-8.22,-1035495.0,2,熊,all,1.9422,1.6848,0.050757,1.6105,1.1528,16.28,熊,all,,Trail止损6%,价2.060≤peak2.242×(1-6%)
93,510050,上证50ETF,2024-10-11,2024-10-17,2.6605,2.5756,-3.19,-368929.0,6,熊,def,2.6723,2.3948,0.025626,2.321,1.1159,13.25,牛,def,,Trail止损3%,价2.577≤peak2.692×(1-3%)
94,588200,科创芯片ETF,2024-10-17,2024-10-23,0.4082,0.4597,12.62,1412903.0,6,牛,all,0.4328,0.3679,0.031051,0.3248,1.1764,22.87,牛,all,,Trail止损3%,价0.460≤peak0.478×(1-3%)
95,512480,半导体ETF,2024-10-23,2024-11-01,0.4883,0.4717,-3.39,-426771.0,9,牛,all,0.4673,0.4331,0.008929,0.3627,1.079,8.27,牛,all,,Trail止损3%,价0.472≤peak0.493×(1-3%)
96,159995,芯片ETF,2024-11-01,2024-11-04,0.5723,0.5807,1.46,178055.0,3,牛,all,0.5883,0.5706,0.003544,0.4564,1.0311,10.2,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0023<0"
97,513100,纳指ETF,2024-11-04,2024-11-05,1.4438,1.4372,-0.46,-56364.0,1,牛,all,1.4638,1.4617,0.000137,1.4242,1.0015,3.02,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0012<0"
