序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,买入牛熊,买入池,峰值价,退出类型,触发详情
156,518880,华安黄金ETF,2026-01-30,2026-02-02,11.0151,9.9026,-10.1,-3618642.0,3,牛,all,11.009,Trail止损3%,价9.908≤peak11.009×(1-3%)
157,518880,华安黄金ETF,2026-02-02,2026-02-05,9.9134,10.5172,6.09,1961700.0,3,牛,all,10.867,Trail止损3%,价10.523≤peak10.867×(1-3%)
158,515880,通信ETF,2026-02-05,2026-02-09,0.5133,0.5377,4.76,1625889.0,4,牛,all,0.538,趋势全空,MA5<MA15且MA8斜率-0.0021<0
159,510880,红利ETF,2026-02-09,2026-03-23,3.1457,3.2322,2.75,984258.0,42,牛,all,3.381,Trail止损3%,价3.234≤peak3.381×(1-3%)
160,159915,创业板ETF,2026-03-23,2026-03-25,3.2298,3.3052,2.33,858748.0,2,牛,all,3.307,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0019<0"
161,511010,国债ETF,2026-03-25,2026-04-14,139.4997,139.5772,0.06,20914.0,20,牛,all,139.69,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
162,515880,通信ETF,2026-04-14,2026-04-28,0.6203,0.6636,6.98,2628410.0,14,熊,all,0.707,Trail止损6%,价0.664≤peak0.707×(1-6%)
163,515050,5G通信ETF,2026-04-28,2026-05-15,0.9875,1.1074,12.14,4889568.0,17,熊,all,1.156,Trail止损3%,价1.108≤peak1.156×(1-3%)
164,588200,科创芯片ETF,2026-05-15,2026-05-21,1.1416,1.1893,4.18,1888421.0,6,牛,all,1.255,Trail止损3%,价1.190≤peak1.255×(1-3%)
165,588170,科创半导体ETF,2026-05-21,2026-05-27,0.8455,0.8545,1.07,504658.0,6,牛,all,0.906,Trail止损3%,价0.855≤peak0.906×(1-3%)
166,588170,科创半导体ETF,2026-05-27,2026-05-29,0.8555,0.8156,-4.67,-2219893.0,2,牛,all,0.869,Trail止损3%,价0.816≤peak0.869×(1-3%)
167,159995,芯片ETF,2026-05-29,2026-06-01,1.2467,1.1784,-5.48,-2485888.0,3,牛,all,1.246,Trail止损3%,价1.179≤peak1.246×(1-3%)
168,159995,芯片ETF,2026-06-01,2026-06-03,1.1796,1.2413,5.23,2240947.0,2,牛,all,1.242,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0040<0"
169,513100,纳指ETF,2026-06-03,2026-06-05,2.3003,2.2038,-4.19,-1891900.0,2,牛,all,2.299,Trail止损3%,价2.205≤peak2.299×(1-3%)
170,159509,纳指科技ETF,2026-06-05,2026-06-08,2.7155,2.6296,-3.16,-1367693.0,3,牛,all,2.714,Trail止损3%,价2.631≤peak2.714×(1-3%)
171,515880,通信ETF,2026-06-08,2026-06-10,0.8014,0.8146,1.64,684617.0,2,牛,all,0.848,Trail止损3%,价0.815≤peak0.848×(1-3%)
172,515880,通信ETF,2026-06-10,2026-06-16,0.8154,0.8645,6.02,2559744.0,6,牛,all,0.865,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0005<0"
173,588170,科创半导体ETF,2026-06-16,2026-07-02,0.9425,1.2343,30.96,13960598.0,16,牛,all,1.392,Trail止损3%,价1.235≤peak1.392×(1-3%)
174,588170,科创半导体ETF,2026-07-02,2026-07-03,1.2357,1.1923,-3.51,-2070999.0,1,牛,all,1.235,Trail止损3%,价1.193≤peak1.235×(1-3%)
175,588170,科创半导体ETF,2026-07-03,2026-07-10,1.1937,1.2913,8.18,4660764.0,7,牛,all,1.397,Trail止损3%,价1.292≤peak1.397×(1-3%)
176,589720,半导体设备ETF,2026-07-10,2026-07-16,0.9515,0.9815,3.15,1939410.0,6,牛,all,0.996,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0003<0"
177,159992,创新药ETF,2026-07-16,2026-07-17,0.9095,0.8425,-7.36,-4681363.0,1,牛,all,0.909,Trail止损3%,价0.843≤peak0.909×(1-3%)
178,513050,中概互联ETF,2026-07-17,2026-07-22,1.0976,1.0814,-1.48,-869261.0,5,牛,all,1.137,Trail止损3%,价1.082≤peak1.137×(1-3%)
179,513050,中概互联ETF,2026-07-22,2026-07-27,1.0826,1.0894,0.63,364798.0,5,牛,all,1.095,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0006<0"
180,510880,红利ETF,2026-07-27,2026-07-31,3.2338,3.3022,2.12,1235280.0,4,牛,all,3.312,末仓,回测结束
