序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,峰值价,退出类型,触发详情
129,515880,通信ETF,2025-11-04,2025-11-07,0.4512,0.4547,0.78,209770.0,3,牛,all,0.46,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0025<0 (动能走弱)"
130,513100,纳指ETF,2025-11-07,2025-11-10,1.9251,1.9499,1.29,351922.0,3,牛,all,1.951,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0007<0 (动能走弱)"
131,518800,黄金ETF,2025-11-13,2025-11-17,9.6213,9.3049,-3.29,-907458.0,4,牛,all,9.616,Trail止损3%,价格9.310≤peak×(1-3%)=9.328
132,518800,黄金ETF,2025-11-17,2025-11-24,9.3151,9.2849,-0.32,-86604.0,7,牛,all,9.384,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0005<0 (动能走弱)"
133,159819,人工智能ETF,2025-12-02,2025-12-15,1.4608,1.4772,1.12,298337.0,13,牛,all,1.527,Trail止损3%,价格1.478≤peak×(1-3%)=1.481
134,515880,通信ETF,2025-12-15,2025-12-23,0.4843,0.5117,5.67,1524801.0,8,牛,all,0.514,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0013<0 (动能走弱)"
135,515880,通信ETF,2025-12-26,2026-01-13,0.5173,0.5197,0.47,133500.0,18,牛,all,0.54,Trail止损3%,价格0.520≤peak×(1-3%)=0.524
136,588170,科创半导体ETF,2026-01-13,2026-01-22,0.5613,0.6177,10.04,2866860.0,9,牛,all,0.639,Trail止损3%,价格0.618≤peak×(1-3%)=0.620
137,588170,科创半导体ETF,2026-01-22,2026-01-26,0.6183,0.6037,-2.37,-745616.0,4,牛,all,0.627,Trail止损3%,价格0.604≤peak×(1-3%)=0.608
138,588170,科创半导体ETF,2026-01-26,2026-01-29,0.6043,0.6027,-0.28,-84462.0,3,牛,all,0.631,Trail止损3%,价格0.603≤peak×(1-3%)=0.612
139,588200,科创芯片ETF,2026-01-29,2026-02-02,0.9115,0.8735,-4.17,-1274798.0,4,牛,all,0.922,Trail止损3%,价格0.874≤peak×(1-3%)=0.894
140,518880,华安黄金ETF,2026-02-02,2026-02-05,9.9134,10.5172,6.09,1785585.0,3,牛,all,10.867,Trail止损3%,价格10.523≤peak×(1-3%)=10.541
141,515880,通信ETF,2026-02-05,2026-02-09,0.5133,0.5377,4.76,1479922.0,4,牛,all,0.538,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0021<0 (动能走弱)"
142,588220,科创100ETF,2026-02-26,2026-03-03,1.5729,1.4732,-6.34,-2064896.0,5,牛,all,1.574,Trail止损3%,价格1.474≤peak×(1-3%)=1.527
143,588170,科创半导体ETF,2026-03-03,2026-03-05,0.5743,0.5757,0.24,72668.0,2,牛,all,0.576,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0012<0 (动能走弱)"
